action,start,container,create_time,rent_time,end2end latency,time_from_system_start
eo_gluerunner,cold,create,0.5268518924713135,3.337860107421875e-06,1.0170490741729736,0.0
eo_ons3objectcreated,warm,prewarm,2.384185791015625e-07,0.0052089691162109375,0.2662479877471924,0.001844644546508789
eo_athenarunner,warm,prewarm,2.384185791015625e-07,0.007312774658203125,0.06576991081237793,0.002733945846557617
fmp_twitter_streaming,cold,create,2.9993231296539307,8.58306884765625e-06,3.280362129211426,0.2164459228515625
sc_add_to_cart,cold,create,2.8067030906677246,4.0531158447265625e-06,3.1857898235321045,0.4126565456390381
sc_checkout_cart,cold,create,2.954665184020996,1.0013580322265625e-05,3.3264529705047607,0.4146919250488281
sc_update_cart,cold,create,2.895190954208374,5.9604644775390625e-06,3.455766439437866,0.42621779441833496
sc_list_cart,cold,create,2.8925344944000244,4.5299530029296875e-06,3.1578781604766846,0.42780327796936035
sc_migrate_cart,cold,create,2.8942089080810547,4.0531158447265625e-06,3.3942198753356934,0.43306756019592285
fmp_twitter_streaming,cold,create,2.539517641067505,9.059906005859375e-06,3.149205207824707,0.5515668392181396
fmp_twitterddb,cold,create,2.5945982933044434,1.2636184692382812e-05,2.7217698097229004,0.7173092365264893
fmp_comparefaces,warm,prewarm,2.384185791015625e-07,0.006170034408569336,0.08040595054626465,0.8187251091003418
fmp_twitter_streaming,cold,create,2.9634792804718018,9.5367431640625e-06,2.930797576904297,0.8859148025512695
fmp_twitterddb,cold,create,2.2711095809936523,7.3909759521484375e-06,2.4041895866394043,1.0576989650726318
sc_delete_from_cart,cold,create,2.236829996109009,9.5367431640625e-06,2.653585910797119,1.1085715293884277
df_union,warm,prewarm,2.384185791015625e-07,2.7959861755371094,3.1299943923950195,1.3259057998657227
fmp_twitterddb,warm,prewarm,0.0,0.1409142017364502,0.30013298988342285,1.387037754058838
cs_bot,cold,create,14.818200826644897,4.5299530029296875e-06,15.321971416473389,1.430448293685913
fmp_twitter_streaming,cold,create,2.3491625785827637,8.58306884765625e-06,0.6337082386016846,1.515186071395874
tcp_download_podcast,cold,create,4.503973960876465,8.106231689453125e-06,4.6764936447143555,1.887347936630249
tcp_check_transcribe,warm,prewarm,2.384185791015625e-07,1.402836799621582,4.1960461139678955,2.187591791152954
eo_gluerunner,cold,create,3.8844399452209473,7.3909759521484375e-06,2.911160707473755,2.284111738204956
eo_ons3objectcreated,cold,create,3.7110750675201416,8.344650268554688e-06,2.0399155616760254,2.6179282665252686
eo_gluerunner,cold,create,2.263308048248291,5.0067901611328125e-06,2.947847843170166,2.9489636421203613
tcp_process_podcast_rss,cold,create,12.211904287338257,4.0531158447265625e-06,12.551979780197144,2.987536907196045
tcp_upload_to_elasticsearch,cold,create,15.359194040298462,1.0013580322265625e-05,15.621891975402832,3.5890769958496094
