action,openwhisk,pagurus,prewarm,sock,pagurus/openwhisk,prewarm/openwhisk,sock/openwhisk
cs_bot,0.48954315185546876,0.04158627986907959,0.21938888231913248,0.1439652442932129,0.0849491606847304,0.4481502427060898,0.2940808052314799
ep_users_sign_up,0.7395302057266235,0.029686641693115235,0.007523238658905029,0.014759600162506104,0.04014256816453724,0.010172997127971387,0.0199580761518782
ep_products_table_update,0.787588874499003,0.02455172538757324,0.006255507469177246,0.012924790382385254,0.031173276035915257,0.007942605173487839,0.016410580190847547
ep_orders_create_order,0.8129293918609619,0.02582208315531413,0.010365128517150879,0.012065708637237549,0.03176423858436474,0.012750342921447305,0.014842259067071827
ep_products_validate,0.9963695605595907,0.03948684533437093,,,0.039630722271557506,,
ep_delivery_on_package_created,1.2579818964004517,0.06506411234537761,0.4895336627960205,0.13489484786987305,0.051721024389579796,0.3891420569697832,0.10723115193935363
ep_payment_validate,1.145716945330302,0.07053979237874348,,,0.061568254415934616,,
ep_warehouse_on_order_events,1.1041454871495564,0.03894972801208496,,,0.03527590201236699,,
ep_warehouse_table_update,0.9519275029500326,0.017995882034301757,0.010329683621724447,0.010119477907816568,0.018904677066827403,0.010851334360770811,0.010630513223387504
ep_payment_cancel_payment,1.1750816106796265,0.024583768844604493,0.014300187428792318,0.013650178909301758,0.020920903383371044,0.012169527034400262,0.011616366714654795
ep_delivery_table_requests,1.1373940706253052,0.026263078053792317,0.011639714241027832,0.01166236400604248,0.023090570570104753,0.010233668823883236,0.010253582559675964
ep_payment_process_payment,1.0255440870920818,0.019704818725585938,0.010375261306762695,,0.019214014271642595,0.010116835967707275,
ep_orders_on_event,1.045008619626363,0.019652843475341797,0.008173783620198568,,0.018806393656703578,0.00782173799018142,
ep_orders_table_update,1.156659483909607,0.027732094128926594,0.02037978172302246,0.010710835456848145,0.02397602277481854,0.017619517244727094,0.009260145795584207
ep_payment_update_payment,1.0681308507919312,0.014126598834991455,0.005742549896240234,0.010282595952351889,0.013225532082064425,0.005376260681902977,0.00962671937125324
df_union,0.5960988998413086,0.11758673191070557,0.7714913686116537,0.5808825492858887,0.19726044108118485,1.2942338407553469,0.9744734463367224
eo_athenarunner,,,,0.01592230796813965,,,
eo_gluerunner,0.6384858191013336,0.015388250350952147,0.006369054317474365,0.013020038604736328,0.0241011622977172,0.009975247886380288,0.020392056041372984
eo_ons3objectcreated,0.5698411124093192,,0.0059018731117248535,0.00797969102859497,,0.010357050383345303,0.014003361384117062
fmp_twitter_streaming,0.6381587982177734,,0.4582412242889404,,,0.7180677059827424,
fmp_twitterddb,0.4762201309204102,0.01685929298400879,0.003180980682373047,0.012609362602233887,0.035402310589903334,0.006679643458635473,0.026478012548237416
fmp_comparefaces,0.4566833972930908,,0.0038471221923828125,0.00715947151184082,,0.008424046538993844,0.015677100490793638
fp_notification,0.5219999551773071,0.03706640005111694,0.3125196695327759,0.12626429398854574,0.07100843531399662,0.5986967363371184,0.24188564143776162
fp_conversion,0.6802686055501302,0.04036273956298828,0.33678420384724933,0.1993805567423503,0.05933353271587054,0.49507532921483777,0.293090927783022
fp_sentiment,0.651766300201416,0.02249296506245931,0.011736790339152018,0.018119891484578453,0.034510782554281014,0.018007666759580827,0.027801209542406294
t_payment_method,,,,,,,
t_ddb_encrypt_item,,,,,,,
sc_add_to_cart,,,,0.010593175888061523,,,
sc_update_cart,0.6079022884368896,0.01428818702697754,0.00891268253326416,0.015412330627441406,0.023504084947133557,0.01466137355097232,0.02535330253003557
sc_list_cart,0.49407475335257395,0.016271591186523438,0.008400099618094308,0.009396076202392578,0.03293346012139171,0.017001677501420436,0.01901751939081068
sc_migrate_cart,,,,,,,
sc_checkout_cart,,,,0.011169195175170898,,,
sc_delete_from_cart,,,0.004221677780151367,,,,
tcp_download_podcast,0.5385103225708008,,0.3953113555908203,0.4315600872039795,,0.7340831531392727,0.80139612764292
tcp_check_transcribe,0.6020824313163757,,0.323588768641154,0.45348086953163147,,0.5374492790524859,0.7531873476861863
tcp_process_podcast_rss,0.5676125884056091,0.08691366513570149,0.29802823066711426,0.4427571637289865,0.15312145451149514,0.5250557101001905,0.7800340809435987
tcp_upload_to_elasticsearch,0.5598689317703247,,0.3455640077590942,0.45501482486724854,,0.6172230465912959,0.8127166896517657
cer_lambda,,,,,,,
