action,openwhisk,pagurus,prewarm,sock
all,74,11,15,16
cs_bot,4,0,0,0
ep_users_sign_up,2,0,0,0
ep_products_table_update,5,3,0,0
ep_orders_create_order,2,0,0,0
ep_products_validate,4,3,0,1
ep_delivery_on_package_created,6,2,1,2
ep_payment_validate,4,0,1,0
ep_warehouse_on_order_events,0,0,0,0
ep_warehouse_table_update,1,0,0,0
ep_payment_cancel_payment,0,0,0,0
ep_delivery_table_requests,1,0,0,0
ep_payment_process_payment,4,0,2,1
ep_orders_on_event,2,0,0,1
ep_orders_table_update,3,0,0,0
ep_payment_update_payment,5,3,0,0
df_union,2,0,0,0
eo_athenarunner,1,0,1,1
eo_gluerunner,1,0,0,0
eo_ons3objectcreated,1,0,0,0
fmp_twitter_streaming,0,0,0,0
fmp_twitterddb,0,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,2,0,1,1
fp_conversion,5,0,4,1
fp_sentiment,5,0,5,2
t_payment_method,3,0,0,0
t_ddb_encrypt_item,3,0,0,0
sc_add_to_cart,0,0,0,0
sc_update_cart,0,0,0,0
sc_list_cart,0,0,0,0
sc_migrate_cart,0,0,0,0
sc_checkout_cart,0,0,0,0
sc_delete_from_cart,0,0,0,0
tcp_download_podcast,1,0,0,1
tcp_check_transcribe,3,0,0,3
tcp_process_podcast_rss,1,0,0,1
tcp_upload_to_elasticsearch,0,0,0,0
cer_lambda,3,0,0,1
