dir,action,openwhisk,pagurus,random,prewarm,sock,normalized_pagurus,normalized_random,normalized_prewarm,normalized_sock
all,cs_bot,0.74418016,0.500823395,0.50033125,0.697084415,0.543399912,0.67298676,0.672325435,0.936714591,0.730199407
all,ep_users_sign_up,0.858209412,0.109425877,0.147610613,0.318345276,0.386385796,0.127504867,0.171998361,0.370941254,0.45022321
all,ep_products_table_update,0.847587519,0.36012984,0.375083894,0.329785685,0.331440422,0.424888087,0.442531167,0.389087472,0.391039762
all,ep_orders_create_order,1.044482986,0.488114002,0.501349255,0.499612333,0.56352614,0.467325948,0.479997532,0.478334583,0.539526395
all,ep_products_validate,1.073805709,0.511922238,0.41192357,0.915172873,0.976789703,0.476736372,0.383610896,0.852270448,0.909652179
all,ep_delivery_on_package_created,1.013083512,0.520960651,0.524777925,1.05213818,0.893906211,0.514232681,0.518000658,1.038550294,0.88236182
all,ep_payment_validate,1.149562714,0.587624489,0.756804916,1.171232103,1.007478238,0.511172189,0.658341565,1.018850115,0.876401284
all,ep_warehouse_on_order_events,1.113770174,0.653987366,0.437072061,0.996525826,0.840850508,0.587183407,0.392425719,0.894732009,0.754958723
all,ep_warehouse_table_update,0.957559402,0.633402697,0.550621476,0.398829672,0.491254132,0.661476139,0.575025919,0.416506455,0.513027318
all,ep_payment_cancel_payment,0.992595559,0.215322954,0.228941518,0.370502448,0.563732347,0.216929193,0.230649347,0.373266276,0.567937607
all,ep_delivery_table_requests,1.147093471,0.517292658,0.543642112,0.767417004,0.694847944,0.450959465,0.47393009,0.669010001,0.605746577
all,ep_payment_process_payment,0.922735927,0.352708383,0.398202489,0.894154576,0.916477244,0.382241953,0.431545448,0.969025428,0.993217255
all,ep_orders_on_event,1.080686278,0.67851718,0.650763934,0.905023833,0.98605033,0.62785768,0.602176549,0.837452877,0.912429768
all,ep_orders_table_update,0.979685447,0.407648477,0.420949451,0.670395974,0.619638357,0.41610139,0.429678171,0.684297165,0.632487048
all,ep_payment_update_payment,0.88485421,0.419333649,0.477035732,0.232526391,0.328604118,0.4739014,0.539112236,0.262784975,0.371365265
all,df_union,0.969993705,0.645015821,0.52153674,1.241534118,0.798394021,0.664969079,0.537670232,1.279940387,0.823091961
all,eo_athenarunner,0.501578533,0.10333406,0.089022702,0.190567563,0.179606514,0.206017709,0.177485072,0.379935645,0.358082537
all,eo_gluerunner,0.843320681,0.494837393,0.510168896,0.50204694,0.491688852,0.586772511,0.604952431,0.595321509,0.583039006
all,eo_ons3objectcreated,0.770962916,0.321858182,0.301875722,0.290687342,0.328550364,0.417475569,0.391556735,0.37704452,0.426155859
all,fmp_twitter_streaming,0.787555016,0.304134664,0.420148382,0.833630158,0.560751495,0.386175769,0.533484485,1.058504029,0.712015647
all,fmp_twitterddb,0.491289897,0.078592129,0.081284587,0.073696775,0.199108366,0.159970985,0.165451372,0.150006697,0.405276735
all,fmp_comparefaces,0.448057146,0.116825606,0.203730099,0.32345278,0.321762081,0.260738184,0.454696686,0.721900729,0.718127329
all,fp_notification,0.741174859,0.389174488,0.388397862,0.634200054,0.436943175,0.525077832,0.524030001,0.8556686,0.589527787
all,fp_conversion,0.736563253,0.485454938,0.311943464,0.663858195,0.596792472,0.659081127,0.423512119,0.901291494,0.81023927
all,fp_sentiment,0.815648613,0.389092092,0.373172729,0.56927384,0.63954102,0.477033965,0.457516537,0.697940057,0.784088896
all,t_payment_method,0.767940923,0.366237912,0.336418348,0.328873112,0.361899357,0.476908966,0.438078422,0.42825314,0.471259371
all,t_ddb_encrypt_item,0.676954896,0.293885038,0.291755049,0.65781972,0.495016498,0.434127945,0.430981518,0.971733455,0.731239999
all,sc_add_to_cart,1.222109876,0.395910201,0.434047529,0.623733503,0.619154812,0.323956306,0.355162443,0.510374325,0.506627778
all,sc_update_cart,1.185504273,0.574325457,0.595379486,0.870142419,0.789455413,0.484456674,0.50221623,0.733985055,0.665923718
all,sc_list_cart,0.867140889,0.240091835,0.262514435,0.440040348,0.448056027,0.276877538,0.30273562,0.507461191,0.516704993
all,sc_migrate_cart,1.262055863,0.490376092,0.433552868,0.828374145,0.684742326,0.388553397,0.343529063,0.656368841,0.542561028
all,sc_checkout_cart,1.189414904,0.496842589,0.414450312,0.751981488,0.741066144,0.417720164,0.348448898,0.632228069,0.623050998
all,sc_delete_from_cart,0.922514755,0.518301253,0.474395595,0.885965545,0.826166402,0.56183519,0.514241743,0.960380894,0.895559012
all,tcp_download_podcast,0.577978991,0.374795011,0.358060396,0.539690896,0.507148989,0.648457846,0.619504171,0.933755213,0.87745229
all,tcp_check_transcribe,0.891967421,0.55248301,0.627767373,0.940280291,0.760054934,0.619398195,0.703800788,1.054164389,0.852110644
all,tcp_process_podcast_rss,0.764687978,0.428941632,0.511763816,0.736180806,0.675151956,0.560936807,0.669245275,0.962720518,0.882911692
all,tcp_upload_to_elasticsearch,0.677075007,0.386501139,0.417817616,0.668788226,0.551453322,0.570839471,0.617092069,0.987760912,0.814464153
all,cer_lambda,0.954446878,0.423544689,0.425565396,1.037337899,0.819837138,0.443759311,0.445876461,1.086847181,0.858965708
