action,cold,warm,prewarm,create,rent,queue
fmp_twitter_streaming,4,20359,0,4,0,20359
eo_athenarunner,2,27427,0,2,0,27427
eo_gluerunner,18,27411,0,18,0,27411
eo_ons3objectcreated,16,27413,0,16,0,27413
fmp_twitterddb,7,20356,0,7,0,20356
sc_add_to_cart,2,3140,0,2,0,3140
fmp_comparefaces,11,20352,0,11,0,20352
sc_update_cart,5,3137,0,5,0,3137
sc_checkout_cart,2,3140,0,2,0,3140
sc_list_cart,8,3134,0,8,0,3134
sc_migrate_cart,2,3140,0,2,0,3140
sc_delete_from_cart,3,3139,0,3,0,3139
cs_bot,7,1421,0,7,0,1421
df_union,8,1511,0,8,0,1511
tcp_download_podcast,5,1367,0,5,0,1367
tcp_check_transcribe,8,1364,0,8,0,1364
tcp_process_podcast_rss,12,1360,0,12,0,1360
tcp_upload_to_elasticsearch,7,1365,0,7,0,1365
cer_lambda,1,73,0,1,0,73
t_payment_method,1,208,0,1,0,208
t_ddb_encrypt_item,1,208,0,1,0,208
fp_notification,6,0,0,6,0,0
fp_sentiment,6,0,0,6,0,0
fp_conversion,6,0,0,6,0,0
ep_users_sign_up,6,10,0,6,0,10
ep_orders_create_order,6,10,0,6,0,10
ep_products_table_update,6,10,0,6,0,10
ep_warehouse_on_order_events,6,10,0,6,0,10
ep_payment_validate,6,10,0,6,0,10
ep_products_validate,6,10,0,6,0,10
ep_delivery_on_package_created,6,10,0,6,0,10
ep_warehouse_table_update,6,10,0,6,0,10
ep_delivery_table_requests,6,10,0,6,0,10
ep_payment_cancel_payment,6,10,0,6,0,10
ep_orders_table_update,6,10,0,6,0,10
ep_payment_update_payment,6,10,0,6,0,10
ep_orders_on_event,6,10,0,6,0,10
ep_payment_process_payment,6,10,0,6,0,10
