id,action,time,zygote_time
1652348070.8863156_cs_bot,cs_bot,1652348070.8863149,11.471396923065186
1652348070.8912544_df_union,df_union,1652348070.891254,15.384398698806763
1652348070.8956194_eo_athenarunner,eo_athenarunner,1652348070.895619,0.5315964221954346
1652348070.90039_eo_gluerunner,eo_gluerunner,1652348070.9003894,0.5317580699920654
1652348070.9045959_eo_ons3objectcreated,eo_ons3objectcreated,1652348070.9045954,0.5316798686981201
1652348070.9085596_fmp_twitter_streaming,fmp_twitter_streaming,1652348070.908559,0.9242227077484131
1652348070.9128122_fmp_twitterddb,fmp_twitterddb,1652348070.9128118,0.9242963790893555
1652348070.9169834_fmp_comparefaces,fmp_comparefaces,1652348070.916983,0.9259319305419922
1652348070.9207187_sc_add_to_cart,sc_add_to_cart,1652348070.9207182,6.0711350440979
1652348070.924394_sc_update_cart,sc_update_cart,1652348070.9243937,6.07082986831665
1652348070.9281604_sc_list_cart,sc_list_cart,1652348070.9281602,6.070886135101318
1652348070.931884_sc_migrate_cart,sc_migrate_cart,1652348070.9318833,6.07115912437439
1652348070.9355996_sc_checkout_cart,sc_checkout_cart,1652348070.935599,6.070808410644531
1652348070.9398227_sc_delete_from_cart,sc_delete_from_cart,1652348070.9398222,6.0718302726745605
1652348070.9450455_tcp_download_podcast,tcp_download_podcast,1652348070.9450448,16.29396104812622
1652348070.949938_tcp_check_transcribe,tcp_check_transcribe,1652348070.9499373,16.294151544570923
1652348070.9543293_tcp_process_podcast_rss,tcp_process_podcast_rss,1652348070.9543288,16.293247938156128
1652348070.9584558_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652348070.958455,16.29610586166382
1652348520.8864975_cs_bot,cs_bot,1652348520.8864968,12.099185228347778
1652348520.8914385_df_union,df_union,1652348520.8914378,16.725223779678345
1652348520.895956_eo_athenarunner,eo_athenarunner,1652348520.895955,0.538252592086792
1652348520.9008136_eo_gluerunner,eo_gluerunner,1652348520.9008129,0.537238597869873
1652348520.9059527_eo_ons3objectcreated,eo_ons3objectcreated,1652348520.9059522,0.5366470813751221
1652348520.9101932_fmp_twitter_streaming,fmp_twitter_streaming,1652348520.9101927,0.9501874446868896
1652348520.9145188_fmp_twitterddb,fmp_twitterddb,1652348520.9145184,0.951610803604126
1652348520.9186537_fmp_comparefaces,fmp_comparefaces,1652348520.918653,0.9517748355865479
1652348520.922442_sc_add_to_cart,sc_add_to_cart,1652348520.9224412,6.744793891906738
1652348520.9261105_sc_update_cart,sc_update_cart,1652348520.9261098,6.744784593582153
1652348520.9298131_sc_list_cart,sc_list_cart,1652348520.9298127,6.744373321533203
1652348520.9334183_sc_migrate_cart,sc_migrate_cart,1652348520.9334178,6.745104551315308
1652348520.9371886_sc_checkout_cart,sc_checkout_cart,1652348520.9371881,6.744768381118774
1652348520.9416811_sc_delete_from_cart,sc_delete_from_cart,1652348520.941681,6.743470191955566
1652348520.945423_tcp_download_podcast,tcp_download_podcast,1652348520.9454224,15.387426853179932
1652348520.9494653_tcp_check_transcribe,tcp_check_transcribe,1652348520.9494648,15.388060092926025
1652348520.9534516_tcp_process_podcast_rss,tcp_process_podcast_rss,1652348520.9534507,13.956955671310425
1652348520.9572377_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652348520.9572372,13.958109855651855
1652348970.8868282_cs_bot,cs_bot,1652348970.8868275,15.197890520095825
1652348970.8915758_df_union,df_union,1652348970.891575,13.5311119556427
1652348970.8960905_eo_athenarunner,eo_athenarunner,1652348970.8960898,0.5178680419921875
1652348970.900683_eo_gluerunner,eo_gluerunner,1652348970.9006824,0.5166349411010742
1652348970.9058478_eo_ons3objectcreated,eo_ons3objectcreated,1652348970.9058473,0.517824649810791
1652348970.9109516_fmp_twitter_streaming,fmp_twitter_streaming,1652348970.9109511,0.8552572727203369
