id,action,time,zygote_time
1652278701.8786888_cs_bot,cs_bot,1652278701.8786874,11.337798357009888
1652278701.8840358_df_union,df_union,1652278701.8840344,15.457481622695923
1652278701.8887_eo_athenarunner,eo_athenarunner,1652278701.888699,0.5208594799041748
1652278701.8934703_eo_gluerunner,eo_gluerunner,1652278701.893469,0.5216941833496094
1652278701.897885_eo_ons3objectcreated,eo_ons3objectcreated,1652278701.8978844,0.5218658447265625
1652278701.9029267_fmp_twitter_streaming,fmp_twitter_streaming,1652278701.9029257,0.960752010345459
1652278701.9074423_fmp_twitterddb,fmp_twitterddb,1652278701.9074414,0.9603800773620605
1652278701.9130034_fmp_comparefaces,fmp_comparefaces,1652278701.9130025,0.9569613933563232
1652278701.9178245_sc_add_to_cart,sc_add_to_cart,1652278701.9178238,6.095810890197754
1652278701.92297_sc_update_cart,sc_update_cart,1652278701.9229693,6.098781108856201
1652278701.9270146_sc_list_cart,sc_list_cart,1652278701.9270139,6.099558353424072
1652278701.931646_sc_migrate_cart,sc_migrate_cart,1652278701.9316456,6.097994804382324
1652278701.9360154_sc_checkout_cart,sc_checkout_cart,1652278701.9360147,6.098018169403076
1652278701.9409707_sc_delete_from_cart,sc_delete_from_cart,1652278701.9409702,6.0988929271698
1652278701.9455905_tcp_download_podcast,tcp_download_podcast,1652278701.9455898,16.44155979156494
1652278701.9514823_tcp_check_transcribe,tcp_check_transcribe,1652278701.9514818,16.443124294281006
1652278701.9573095_tcp_process_podcast_rss,tcp_process_podcast_rss,1652278701.9573088,16.441771745681763
1652278701.9630802_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652278701.9630795,16.443214893341064
1652279151.8787584_cs_bot,cs_bot,1652279151.8787577,11.832371711730957
1652279151.8839855_df_union,df_union,1652279151.8839846,16.19887638092041
1652279151.8887243_eo_athenarunner,eo_athenarunner,1652279151.8887231,0.5360574722290039
1652279151.8933616_eo_gluerunner,eo_gluerunner,1652279151.8933609,0.5361692905426025
1652279151.8987598_eo_ons3objectcreated,eo_ons3objectcreated,1652279151.8987591,0.535808801651001
1652279151.9044962_fmp_twitter_streaming,fmp_twitter_streaming,1652279151.9044957,0.8924896717071533
1652279151.910675_fmp_twitterddb,fmp_twitterddb,1652279151.910674,0.9142415523529053
1652279151.9164917_fmp_comparefaces,fmp_comparefaces,1652279151.916491,0.9135582447052002
1652279151.9213967_sc_add_to_cart,sc_add_to_cart,1652279151.921396,6.737905979156494
1652279151.9254377_sc_update_cart,sc_update_cart,1652279151.925437,6.737910509109497
1652279151.9294527_sc_list_cart,sc_list_cart,1652279151.9294517,6.738297939300537
1652279151.9341931_sc_migrate_cart,sc_migrate_cart,1652279151.9341924,6.738756418228149
1652279151.938421_sc_checkout_cart,sc_checkout_cart,1652279151.9384203,6.737901449203491
1652279151.9424036_sc_delete_from_cart,sc_delete_from_cart,1652279151.9424028,6.737630844116211
1652279151.9466207_tcp_download_podcast,tcp_download_podcast,1652279151.94662,14.47961163520813
1652279151.9508798_tcp_check_transcribe,tcp_check_transcribe,1652279151.9508786,14.479645013809204
1652279151.9548807_tcp_process_podcast_rss,tcp_process_podcast_rss,1652279151.95488,14.487088918685913
1652279151.9591594_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652279151.9591584,14.390321969985962
1652279601.8794348_cs_bot,cs_bot,1652279601.8794336,14.843180894851685
1652279601.8873925_df_union,df_union,1652279601.887392,12.669918298721313
1652279601.8926291_eo_athenarunner,eo_athenarunner,1652279601.8926284,0.5360705852508545
1652279601.8972275_eo_gluerunner,eo_gluerunner,1652279601.8972268,0.5355854034423828
1652279601.90247_eo_ons3objectcreated,eo_ons3objectcreated,1652279601.9024694,0.535038948059082
1652279601.909585_fmp_twitter_streaming,fmp_twitter_streaming,1652279601.9095838,0.8766112327575684
1652279601.9148421_fmp_twitterddb,fmp_twitterddb,1652279601.9148414,0.8774454593658447
1652279601.9193268_fmp_comparefaces,fmp_comparefaces,1652279601.9193256,0.8781237602233887
1652279601.923366_sc_add_to_cart,sc_add_to_cart,1652279601.923365,7.071096181869507
