id,action,time,zygote_time
1652286356.5669506_cs_bot,cs_bot,1652286356.5669496,10.739128828048706
1652286356.5726569_df_union,df_union,1652286356.5726557,15.289746284484863
1652286356.5771573_eo_athenarunner,eo_athenarunner,1652286356.5771563,0.504810094833374
1652286356.5815308_eo_gluerunner,eo_gluerunner,1652286356.5815299,0.5037860870361328
1652286356.586475_eo_ons3objectcreated,eo_ons3objectcreated,1652286356.586474,0.5044269561767578
1652286356.5907385_fmp_twitter_streaming,fmp_twitter_streaming,1652286356.5907376,1.0096721649169922
1652286356.595046_fmp_twitterddb,fmp_twitterddb,1652286356.5950453,1.012195348739624
1652286356.5993989_fmp_comparefaces,fmp_comparefaces,1652286356.5993981,1.0112202167510986
1652286356.6053128_sc_add_to_cart,sc_add_to_cart,1652286356.6053116,5.750908613204956
1652286356.6116529_sc_update_cart,sc_update_cart,1652286356.6116521,5.749463081359863
1652286356.6164987_sc_list_cart,sc_list_cart,1652286356.616498,5.7499847412109375
1652286356.621539_sc_migrate_cart,sc_migrate_cart,1652286356.6215384,5.7502758502960205
1652286356.6273239_sc_checkout_cart,sc_checkout_cart,1652286356.627323,5.750640630722046
1652286356.632561_sc_delete_from_cart,sc_delete_from_cart,1652286356.63256,5.749252796173096
1652286356.639602_tcp_download_podcast,tcp_download_podcast,1652286356.6396012,15.438065528869629
1652286356.6446216_tcp_check_transcribe,tcp_check_transcribe,1652286356.644621,15.437880516052246
1652286356.650696_tcp_process_podcast_rss,tcp_process_podcast_rss,1652286356.6506948,14.4768226146698
1652286356.6567621_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652286356.6567612,14.476240873336792
1652286806.567277_cs_bot,cs_bot,1652286806.567276,15.150147914886475
1652286806.5730207_df_union,df_union,1652286806.5730197,9.569480657577515
1652286806.577578_eo_athenarunner,eo_athenarunner,1652286806.577577,0.5225090980529785
1652286806.5826013_eo_gluerunner,eo_gluerunner,1652286806.5826004,0.5214366912841797
1652286806.5873594_eo_ons3objectcreated,eo_ons3objectcreated,1652286806.5873587,0.5219721794128418
1652286806.5916436_fmp_twitter_streaming,fmp_twitter_streaming,1652286806.5916426,0.9417800903320312
1652286806.5958939_fmp_twitterddb,fmp_twitterddb,1652286806.595893,0.9408283233642578
1652286806.6006162_fmp_comparefaces,fmp_comparefaces,1652286806.6006153,0.9384615421295166
1652286806.6046457_sc_add_to_cart,sc_add_to_cart,1652286806.6046445,6.581936836242676
1652286806.6090102_sc_update_cart,sc_update_cart,1652286806.6090093,6.582448244094849
1652286806.6132867_sc_list_cart,sc_list_cart,1652286806.6132858,6.583024501800537
1652286806.6175334_sc_migrate_cart,sc_migrate_cart,1652286806.6175325,6.5824620723724365
1652286806.6217313_sc_checkout_cart,sc_checkout_cart,1652286806.6217303,6.582448244094849
1652286806.6258707_sc_delete_from_cart,sc_delete_from_cart,1652286806.6258695,6.583693742752075
1652286806.629889_tcp_download_podcast,tcp_download_podcast,1652286806.6298883,15.666914224624634
1652286806.6341596_tcp_check_transcribe,tcp_check_transcribe,1652286806.6341588,15.666889190673828
1652286806.6383529_tcp_process_podcast_rss,tcp_process_podcast_rss,1652286806.6383522,15.666028261184692
1652286806.642509_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652286806.642508,15.664994716644287
1652287256.567901_cs_bot,cs_bot,1652287256.5678995,15.426468133926392
1652287256.5764618_df_union,df_union,1652287256.5764608,13.530266284942627
1652287256.5841544_eo_athenarunner,eo_athenarunner,1652287256.5841534,0.5020322799682617
1652287256.589021_eo_gluerunner,eo_gluerunner,1652287256.58902,0.5018260478973389
1652287256.593912_eo_ons3objectcreated,eo_ons3objectcreated,1652287256.5939107,0.5016388893127441
1652287256.599408_fmp_twitter_streaming,fmp_twitter_streaming,1652287256.599407,0.871260404586792
1652287256.6038663_fmp_twitterddb,fmp_twitterddb,1652287256.6038656,0.8734865188598633
1652287256.6086895_fmp_comparefaces,fmp_comparefaces,1652287256.6086886,0.8734209537506104
1652287256.6140795_sc_add_to_cart,sc_add_to_cart,1652287256.6140788,6.806240558624268
1652287256.6183946_sc_update_cart,sc_update_cart,1652287256.618394,6.804910898208618
1652287256.6225839_sc_list_cart,sc_list_cart,1652287256.6225832,6.805552244186401
1652287256.6279438_sc_migrate_cart,sc_migrate_cart,1652287256.6279426,6.80570387840271
1652287256.633043_sc_checkout_cart,sc_checkout_cart,1652287256.6330423,6.806122541427612
1652287256.6380603_sc_delete_from_cart,sc_delete_from_cart,1652287256.6380596,6.803573846817017
1652287256.6422732_tcp_download_podcast,tcp_download_podcast,1652287256.6422722,14.826951265335083
1652287256.648345_tcp_check_transcribe,tcp_check_transcribe,1652287256.6483443,14.826030015945435
1652287256.652782_tcp_process_podcast_rss,tcp_process_podcast_rss,1652287256.6527812,14.825957298278809
1652287256.657651_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652287256.6576502,14.825231790542603
1652287706.5679536_cs_bot,cs_bot,1652287706.5679526,15.297031164169312
1652287706.5734315_df_union,df_union,1652287706.5734308,13.358638763427734
1652287706.5786011_eo_athenarunner,eo_athenarunner,1652287706.5786004,0.5015163421630859
1652287706.5829594_eo_gluerunner,eo_gluerunner,1652287706.5829587,0.5013952255249023
1652287706.5872803_eo_ons3objectcreated,eo_ons3objectcreated,1652287706.5872796,0.501441240310669
1652287706.5917046_fmp_twitter_streaming,fmp_twitter_streaming,1652287706.5917034,0.8832001686096191
1652287706.596926_fmp_twitterddb,fmp_twitterddb,1652287706.5969255,0.88470458984375
1652287706.60216_fmp_comparefaces,fmp_comparefaces,1652287706.602159,0.8855302333831787
1652287706.6062043_sc_add_to_cart,sc_add_to_cart,1652287706.6062033,7.472611427307129
1652287706.6103148_sc_update_cart,sc_update_cart,1652287706.610314,7.47318959236145
1652287706.6144075_sc_list_cart,sc_list_cart,1652287706.6144063,7.472248315811157
1652287706.619776_sc_migrate_cart,sc_migrate_cart,1652287706.6197753,7.474076271057129
1652287706.6244016_sc_checkout_cart,sc_checkout_cart,1652287706.6244009,7.4735939502716064
1652287706.628701_sc_delete_from_cart,sc_delete_from_cart,1652287706.6287003,7.476070404052734
1652287706.6333082_tcp_download_podcast,tcp_download_podcast,1652287706.6333075,11.568068504333496
1652287706.6385663_tcp_check_transcribe,tcp_check_transcribe,1652287706.6385653,11.567792177200317
1652287706.6436372_tcp_process_podcast_rss,tcp_process_podcast_rss,1652287706.6436365,11.571228265762329
1652287706.6477234_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652287706.647723,11.568472862243652
1652288156.56826_cs_bot,cs_bot,1652288156.5682588,10.350088834762573
1652288156.5738277_df_union,df_union,1652288156.5738268,12.019347667694092
1652288156.5816305_eo_athenarunner,eo_athenarunner,1652288156.5816295,0.510129451751709
1652288156.5877252_eo_gluerunner,eo_gluerunner,1652288156.5877237,0.5094125270843506
1652288156.5933151_eo_ons3objectcreated,eo_ons3objectcreated,1652288156.5933144,0.5092871189117432
1652288156.5982325_fmp_twitter_streaming,fmp_twitter_streaming,1652288156.5982316,0.9717884063720703
1652288156.6031418_fmp_twitterddb,fmp_twitterddb,1652288156.6031408,0.9735777378082275
1652288156.607788_fmp_comparefaces,fmp_comparefaces,1652288156.6077874,0.9724864959716797
1652288156.6122193_sc_add_to_cart,sc_add_to_cart,1652288156.6122186,6.275363445281982
1652288156.6165104_sc_update_cart,sc_update_cart,1652288156.6165097,6.275582313537598
1652288156.6205704_sc_list_cart,sc_list_cart,1652288156.6205697,6.274979591369629
1652288156.6247082_sc_migrate_cart,sc_migrate_cart,1652288156.6247072,6.27473521232605
1652288156.6289155_sc_checkout_cart,sc_checkout_cart,1652288156.6289144,6.2754762172698975
1652288156.6329863_sc_delete_from_cart,sc_delete_from_cart,1652288156.6329856,6.279445648193359
1652288156.6381743_tcp_download_podcast,tcp_download_podcast,1652288156.6381733,14.094045162200928
1652288156.6439152_tcp_check_transcribe,tcp_check_transcribe,1652288156.6439145,14.093728065490723
1652288156.648201_tcp_process_podcast_rss,tcp_process_podcast_rss,1652288156.6482,14.094673871994019
1652288156.6533122_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652288156.6533117,14.094481945037842
1652288606.5692105_cs_bot,cs_bot,1652288606.5692098,11.48903203010559
1652288606.5761454_df_union,df_union,1652288606.576145,10.749489068984985
1652288606.583304_eo_athenarunner,eo_athenarunner,1652288606.5833032,0.545548677444458
1652288606.5888672_eo_gluerunner,eo_gluerunner,1652288606.588866,0.5455331802368164
1652288606.593639_eo_ons3objectcreated,eo_ons3objectcreated,1652288606.593638,0.545555830001831
1652288606.597798_fmp_twitter_streaming,fmp_twitter_streaming,1652288606.597797,0.8865518569946289
1652288606.603388_fmp_twitterddb,fmp_twitterddb,1652288606.603387,0.8883059024810791
1652288606.6089096_fmp_comparefaces,fmp_comparefaces,1652288606.608909,0.887397050857544
1652288606.613648_sc_add_to_cart,sc_add_to_cart,1652288606.6136467,6.720373868942261
1652288606.6179745_sc_update_cart,sc_update_cart,1652288606.6179738,6.719829797744751
1652288606.62281_sc_list_cart,sc_list_cart,1652288606.6228092,6.71962308883667
1652288606.629482_sc_migrate_cart,sc_migrate_cart,1652288606.6294813,6.7193310260772705
1652288606.634781_sc_checkout_cart,sc_checkout_cart,1652288606.63478,6.719022989273071
1652288606.6400523_sc_delete_from_cart,sc_delete_from_cart,1652288606.6400514,6.535142421722412
1652288606.6444755_tcp_download_podcast,tcp_download_podcast,1652288606.6444743,16.706809520721436
1652288606.6488945_tcp_check_transcribe,tcp_check_transcribe,1652288606.6488936,16.704506874084473
1652288606.6529827_tcp_process_podcast_rss,tcp_process_podcast_rss,1652288606.652982,14.905945301055908
1652288606.657404_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652288606.6574032,14.90181303024292
1652289056.5700967_cs_bot,cs_bot,1652289056.5700955,14.951760053634644
1652289056.575555_df_union,df_union,1652289056.5755541,10.971609830856323
1652289056.580446_eo_athenarunner,eo_athenarunner,1652289056.5804446,0.5268111228942871
1652289056.5848749_eo_gluerunner,eo_gluerunner,1652289056.5848734,0.5243511199951172
1652289056.5898757_eo_ons3objectcreated,eo_ons3objectcreated,1652289056.5898752,0.5250000953674316
1652289056.5940404_fmp_twitter_streaming,fmp_twitter_streaming,1652289056.5940394,0.9195733070373535
1652289056.5983877_fmp_twitterddb,fmp_twitterddb,1652289056.5983868,0.9202024936676025
1652289056.6038764_fmp_comparefaces,fmp_comparefaces,1652289056.6038759,0.9211974143981934
1652289056.6081_sc_add_to_cart,sc_add_to_cart,1652289056.608099,7.215147018432617
1652289056.6122737_sc_update_cart,sc_update_cart,1652289056.612273,7.215105056762695
1652289056.618102_sc_list_cart,sc_list_cart,1652289056.6181014,7.2150890827178955
1652289056.623663_sc_migrate_cart,sc_migrate_cart,1652289056.6236618,7.215078353881836
1652289056.6276863_sc_checkout_cart,sc_checkout_cart,1652289056.6276853,7.2150750160217285
