action,openwhisk,pagurus
all,3516,452
1,26,2
2,15,1
3,145,3
4,26,0
5,398,23
6,8,0
7,10,11
8,10,6
9,26,8
10,1,0
11,26,2
12,1,1
13,20,2
14,9,0
15,10,3
16,1,0
17,46,12
18,10,3
19,5,0
20,2,2
21,3,1
22,8,1
23,0,0
24,0,0
25,0,0
26,0,0
27,27,1
28,0,0
29,0,0
30,22,6
31,0,0
32,0,0
33,0,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,1
40,0,0
41,0,0
42,4,1
43,0,0
44,0,0
45,0,1
46,0,0
47,0,1
48,0,0
49,0,0
50,0,0
51,0,0
52,6,3
53,0,0
54,10,4
55,0,1
56,8,1
57,0,0
58,0,2
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,22,2
65,10,5
66,1,0
67,0,0
68,1,0
69,7,1
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,24,2
80,0,0
81,12,1
82,0,0
83,15,4
84,0,0
85,0,0
86,0,0
87,12,3
88,19,2
89,0,0
90,1,0
91,13,2
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,46,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,1
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,0
128,0,0
129,6,1
130,10,1
131,0,0
132,13,3
133,5,0
134,43,4
135,17,1
136,1,0
137,2,0
138,1,0
139,0,0
140,26,0
141,5,4
142,16,5
143,0,0
144,0,2
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,10,1
152,16,1
153,24,7
154,33,8
155,46,4
156,32,8
157,32,2
158,35,5
159,13,2
160,13,2
161,7,1
162,37,1
163,44,6
164,44,1
165,43,5
166,42,3
167,38,2
168,42,6
169,37,1
170,39,5
171,38,4
172,45,3
173,49,3
174,1,1
175,30,6
176,4,0
177,23,5
178,29,5
179,69,1
180,46,2
181,1,0
182,16,3
183,1,0
184,7,1
185,25,2
186,18,2
187,35,3
188,46,2
189,11,2
190,46,0
191,46,0
192,46,0
193,45,0
194,2,0
195,15,1
196,25,9
197,16,4
198,27,0
199,0,0
200,11,1
201,27,5
202,7,2
203,23,5
204,0,0
205,3,2
206,2,0
207,23,3
208,2,0
209,23,2
210,23,5
211,23,2
212,23,5
213,23,8
214,23,2
215,23,3
216,23,6
217,23,3
218,23,9
219,23,8
220,23,7
221,23,1
222,23,1
223,23,6
224,23,4
225,23,6
226,23,6
227,23,2
228,23,4
229,12,2
230,7,0
231,2,0
232,1,0
233,14,3
234,2,0
235,2,1
236,4,0
237,3,0
238,6,0
239,0,0
240,5,0
241,5,0
242,9,1
243,7,2
244,3,0
245,8,1
246,11,2
247,8,2
248,11,5
249,5,2
250,3,0
251,2,1
252,1,0
253,1,0
254,2,0
255,8,1
256,7,1
257,7,4
258,3,0
259,4,0
260,1,0
261,4,1
262,4,1
263,6,1
264,5,1
265,5,0
266,5,2
267,5,1
268,6,1
269,4,2
270,2,0
271,3,0
272,0,0
273,4,2
274,3,0
275,3,0
276,2,0
277,4,1
278,1,0
279,3,0
280,1,0
281,3,1
282,3,1
283,3,2
284,3,0
285,3,0
286,2,2
287,3,0
288,11,1
289,1,0
290,1,0
291,1,1
292,1,0
293,1,1
294,2,0
295,1,0
296,2,0
297,1,0
298,1,0
299,2,1
300,1,0
301,0,0
302,1,0
303,2,0
304,2,0
305,1,0
306,2,0
307,1,0
308,1,0
309,2,0
310,2,0
311,0,0
312,1,0
313,1,0
314,2,0
315,1,0
316,0,0
317,1,0
318,1,0
319,1,0
320,1,0
321,1,0
322,1,1
323,1,0
324,1,1
325,1,1
326,0,0
327,1,1
328,0,0
329,1,0
330,1,1
331,1,0
332,1,0
333,0,0
334,1,1
335,1,0
336,0,0
337,1,0
338,1,0
339,1,0
340,0,0
341,1,1
342,0,0
343,1,0
344,1,0
345,0,0
346,1,0
347,1,0
348,1,0
349,0,0
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,1
356,1,0
357,1,0
358,1,0
359,1,0
360,0,0
361,0,0
362,1,1
363,1,0
364,1,0
365,1,0
366,1,1
367,1,0
368,1,1
369,1,1
370,0,0
371,1,1
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,1,1
378,1,0
379,1,0
380,1,0
381,1,0
382,1,0
383,0,0
384,1,0
385,0,0
386,1,0
387,1,1
388,0,0
