action,total,openwhisk_total,openwhisk_cold,pagurus_cold,cold_percent,alleviation
1,95073,,12,1,0.000126219,0.916666667
2,91828,,0,0,0,
3,90825,,37,16,0.000407377,0.567567568
4,82559,,19,2,0.000230138,0.894736842
5,82183,,1,0,1.22E-05,1
9,66485,,15,7,0.000225615,0.533333333
10,63275,,10,2,0.00015804,0.8
11,59154,,31,1,0.000524056,0.967741935
12,54823,,8,5,0.000145924,0.375
13,53960,,26,2,0.000481838,0.923076923
14,77031,,28,2,0.00036349,0.928571429
15,75557,,11,2,0.000145585,0.818181818
16,70560,,27,2,0.000382653,0.925925926
17,45120,,31,10,0.000687057,0.677419355
18,43793,,37,4,0.000844884,0.891891892
19,42110,,441,50,0.010472572,0.886621315
20,42061,,15,2,0.000356625,0.866666667
21,40157,,15,1,0.000373534,0.933333333
22,49772,,27,7,0.000542474,0.740740741
23,47278,,415,18,0.008777867,0.956626506
24,48016,,14,3,0.000291569,0.785714286
25,35298,,399,44,0.011303757,0.889724311
26,35298,,399,40,0.011303757,0.899749373
27,33987,,29,2,0.000853267,0.931034483
28,243884,,78,7,0.000319824,0.91025641
29,33820,,145,3,0.004287404,0.979310345
30,39142,,19,10,0.000485412,0.473684211
31,36678,,1,0,2.73E-05,1
32,36168,,25,8,0.000691219,0.68
33,26946,,5,2,0.000185556,0.6
34,27336,,15,5,0.000548727,0.666666667
35,26957,,2,1,7.42E-05,0.5
36,27731,,20,13,0.000721215,0.35
37,25965,,26,0,0.001001348,1
38,31253,,2,0,6.40E-05,1
39,29990,,36,7,0.0012004,0.805555556
40,30419,,19,1,0.00062461,0.947368421
41,21836,,2,0,9.16E-05,1
42,21232,,48,4,0.002260739,0.916666667
43,20872,,16,9,0.000766577,0.4375
44,20689,,7,1,0.000338344,0.857142857
45,19864,,398,23,0.020036246,0.942211055
46,25223,,4,2,0.000158585,0.5
47,23885,,121,16,0.005065941,0.867768595
48,23721,,24,24,0.001011762,0
49,17255,,5,1,0.000289771,0.8
50,17428,,10,8,0.000573789,0.2
51,16561,,2,1,0.000120766,0.5
52,16559,,4,4,0.00024156,0
53,16500,,8,0,0.000484848,1
54,18309,,28,4,0.001529303,0.857142857
55,18143,,13,1,0.00071653,0.923076923
56,18282,,10,10,0.000546986,0
57,16248,,30,4,0.001846381,0.866666667
58,16776,,2,0,0.000119218,1
59,16144,,1,0,6.19E-05,1
60,15935,,34,4,0.002133668,0.882352941
61,16348,,10,11,0.000611696,-0.1
62,16512,,25,8,0.00151405,0.68
63,16368,,1,0,6.11E-05,1
64,16359,,2,0,0.000122257,1
65,13800,,25,6,0.001811594,0.76
66,13699,,28,3,0.002043945,0.892857143
67,13413,,0,0,0,
68,13168,,5,1,0.000379708,0.8
69,13182,,10,6,0.00075861,0.4
70,15742,,31,13,0.001969254,0.580645161
71,14153,,32,5,0.002261005,0.84375
72,13850,,24,3,0.001732852,0.875
73,11215,,387,6,0.034507356,0.984496124
74,11057,,0,0,0,
75,11001,,2,0,0.000181802,1
76,10799,,7,2,0.000648208,0.714285714
77,11779,,26,8,0.002207318,0.692307692
78,11977,,2,0,0.000166987,1
79,11614,,0,0,0,
80,11404,,1,0,8.77E-05,1
81,9072,,162,14,0.017857143,0.913580247
82,8524,,9,1,0.001055842,0.888888889
83,8819,,40,12,0.004535662,0.7
84,8347,,42,2,0.005031748,0.952380952
85,8270,,1,0,0.000120919,1
86,10533,,10,2,0.000949397,0.8
87,7428,,30,13,0.004038772,0.566666667
88,9710,,20,3,0.002059732,0.85
89,8277,,3,0,0.00036245,1
90,8278,,0,3,0,
91,8278,,3,1,0.000362406,0.666666667
92,8277,,3,0,0.00036245,1
93,7407,,26,2,0.003510193,0.923076923
94,8281,,0,0,0,
95,8280,,1,0,0.000120773,1
96,8279,,4,0,0.00048315,1
97,8298,,4,2,0.000482044,0.5
98,8264,,0,0,0,
99,8268,,6,1,0.000725689,0.833333333
100,8252,,1,0,0.000121183,1
101,8223,,1,1,0.00012161,0
102,8272,,7,1,0.000846228,0.857142857
103,8275,,8,4,0.000966767,0.5
104,8268,,0,0,0,
105,7901,,1,0,0.000126566,1
106,7728,,0,0,0,
107,8077,,5,5,0.000619042,0
108,7656,,31,4,0.004049112,0.870967742
109,7448,,20,2,0.002685285,0.9
110,8233,,7,2,0.000850237,0.714285714
111,8195,,1,0,0.000122026,1
112,7822,,98,6,0.012528765,0.93877551
113,6965,,22,4,0.00315865,0.818181818
114,6798,,1,0,0.000147102,1
115,6986,,11,4,0.001574578,0.636363636
116,6604,,0,0,0,
117,6384,,9,0,0.001409774,1
118,7373,,109,6,0.01478367,0.944954128
119,6956,,0,0,0,
120,6927,,0,0,0,
121,4827,,30,27,0.00621504,0.1
122,5927,,3,0,0.000506158,1
123,6018,,2,0,0.000332336,1
124,5609,,1,1,0.000178285,0
125,299,,10,3,0.033444816,0.7
126,6587,,2,0,0.000303628,1
127,6079,,5,1,0.000822504,0.8
128,6269,,145,9,0.023129686,0.937931034
129,5492,,0,2,0,
130,5504,,1,0,0.000181686,1
131,5506,,1,0,0.00018162,1
132,5489,,0,1,0,
133,5470,,1,0,0.000182815,1
134,5520,,6,0,0.001086957,1
135,5518,,0,0,0,
136,5517,,2,3,0.000362516,-0.5
137,5017,,1,0,0.000199322,1
138,5025,,18,4,0.00358209,0.777777778
139,4907,,1,0,0.000203791,1
140,4843,,22,6,0.004542639,0.727272727
141,5020,,46,12,0.009163347,0.739130435
142,5218,,0,0,0,
143,5240,,35,3,0.006679389,0.914285714
144,5158,,9,3,0.001744862,0.666666667
145,4790,,46,22,0.00960334,0.52173913
146,4703,,15,5,0.003189454,0.666666667
147,4702,,3,0,0.000638026,1
148,4644,,25,12,0.00538329,0.52
149,4420,,10,3,0.002262443,0.7
150,4848,,7,1,0.001443894,0.857142857
152,4047,,15,7,0.003706449,0.533333333
153,4141,,0,1,0,
154,4140,,1,0,0.000241546,1
155,4130,,0,0,0,
156,4126,,0,0,0,
157,4254,,5,0,0.001175364,1
158,4424,,0,0,0,
159,4293,,40,10,0.009317494,0.75
160,4243,,25,7,0.005892058,0.72
161,3851,,0,1,0,
162,3884,,2,2,0.000514933,0
163,3723,,0,0,0,
164,3681,,2,0,0.000543331,1
165,3635,,2,2,0.000550206,0
166,4102,,19,4,0.004631887,0.789473684
167,4128,,9,0,0.002180233,1
168,3953,,1,1,0.000252972,0
169,3477,,12,1,0.003451251,0.916666667
170,3407,,7,2,0.002054593,0.714285714
171,3443,,7,3,0.002033111,0.571428571
172,3176,,6,0,0.001889169,1
173,2829,,3,1,0.001060445,0.666666667
174,3496,,2,0,0.000572082,1
175,3422,,2,2,0.000584454,0
176,3428,,1,0,0.000291715,1
177,3155,,2,1,0.000633914,0.5
178,2395,,9,4,0.003757829,0.555555556
179,2984,,18,3,0.006032172,0.833333333
180,3007,,4,3,0.001330229,0.25
181,2891,,8,1,0.002767209,0.875
182,3277,,10,0,0.003051572,1
183,3047,,0,0,0,
184,3029,,0,0,0,
185,2757,,0,0,0,
186,2763,,0,0,0,
187,2760,,0,0,0,
188,2760,,1,0,0.000362319,1
189,2750,,0,0,0,
190,2815,,0,0,0,
191,2760,,0,0,0,
192,2759,,0,0,0,
193,2759,,4,2,0.001449801,0.5
194,2759,,1,0,0.00036245,1
195,2758,,1,0,0.000362582,1
196,2756,,1,0,0.000362845,1
197,2755,,0,0,0,
198,2760,,0,1,0,
199,2760,,1,1,0.000362319,0
200,2760,,1,1,0.000362319,0
201,2747,,0,0,0,
202,2745,,4,2,0.001457195,0.5
203,2745,,0,0,0,
204,2758,,215,12,0.07795504,0.944186047
205,2798,,0,0,0,
206,2765,,3,1,0.001084991,0.666666667
207,2760,,2,1,0.000724638,0.5
208,2759,,0,0,0,
209,2564,,3,1,0.001170047,0.666666667
210,2532,,0,0,0,
211,2639,,10,8,0.003789314,0.2
212,2504,,0,0,0,
213,2455,,0,0,0,
214,2718,,1,0,0.000367918,1
215,2658,,25,5,0.009405568,0.8
216,2624,,0,0,0,
217,2357,,0,0,0,
218,2342,,0,0,0,
219,2300,,49,4,0.021304348,0.918367347
220,2293,,1,0,0.00043611,1
221,2195,,27,1,0.012300683,0.962962963
222,2535,,7,1,0.002761341,0.857142857
223,2504,,8,2,0.003194888,0.75
224,2392,,1,0,0.00041806,1
225,2171,,15,4,0.006909258,0.733333333
226,2083,,1,1,0.000480077,0
227,2035,,6,0,0.002948403,1
228,1997,,1,0,0.000500751,1
229,1988,,0,0,0,
230,2218,,0,0,0,
231,1981,,34,2,0.017163049,0.941176471
232,2194,,38,5,0.017319964,0.868421053
233,1888,,22,4,0.011652542,0.818181818
234,1817,,109,7,0.059988993,0.935779817
235,1795,,0,0,0,
236,1788,,0,0,0,
237,1760,,0,0,0,
