action,openwhisk_cold,pagurus_cold
1,12,1
2,0,0
3,37,16
4,19,2
5,1,0
9,15,7
10,10,2
11,31,1
12,8,5
13,26,2
14,28,2
15,11,2
16,27,2
17,31,10
18,37,4
19,441,50
20,15,2
21,15,1
22,27,7
23,415,18
24,14,3
25,399,44
26,399,40
27,29,2
28,78,7
29,145,3
30,19,10
31,1,0
32,25,8
33,5,2
34,15,5
35,2,1
36,20,13
37,26,0
38,2,0
39,36,7
40,19,1
41,2,0
42,48,4
43,16,9
44,7,1
45,398,23
46,4,2
47,121,16
48,24,24
49,5,1
50,10,8
51,2,1
52,4,4
53,8,0
54,28,4
55,13,1
56,10,10
57,30,4
58,2,0
59,1,0
60,34,4
61,10,11
62,25,8
63,1,0
64,2,0
65,25,6
66,28,3
67,0,0
68,5,1
69,10,6
70,31,13
71,32,5
72,24,3
73,387,6
74,0,0
75,2,0
76,7,2
77,26,8
78,2,0
79,0,0
80,1,0
81,162,14
82,9,1
83,40,12
84,42,2
85,1,0
86,10,2
87,30,13
88,20,3
89,3,0
90,0,3
91,3,1
92,3,0
93,26,2
94,0,0
95,1,0
96,4,0
97,4,2
98,0,0
99,6,1
100,1,0
101,1,1
102,7,1
103,8,4
104,0,0
105,1,0
106,0,0
107,5,5
108,31,4
109,20,2
110,7,2
111,1,0
112,98,6
113,22,4
114,1,0
115,11,4
116,0,0
117,9,0
118,109,6
119,0,0
120,0,0
121,30,27
122,3,0
123,2,0
124,1,1
125,10,3
126,2,0
127,5,1
128,145,9
129,0,2
130,1,0
131,1,0
132,0,1
133,1,0
134,6,0
135,0,0
136,2,3
137,1,0
138,18,4
139,1,0
140,22,6
141,46,12
142,0,0
143,35,3
144,9,3
145,46,22
146,15,5
147,3,0
148,25,12
149,10,3
150,7,1
152,15,7
153,0,1
154,1,0
155,0,0
156,0,0
157,5,0
158,0,0
159,40,10
160,25,7
161,0,1
162,2,2
163,0,0
164,2,0
165,2,2
166,19,4
167,9,0
168,1,1
169,12,1
170,7,2
171,7,3
172,6,0
173,3,1
174,2,0
175,2,2
176,1,0
177,2,1
178,9,4
179,18,3
180,4,3
181,8,1
182,10,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,1,0
189,0,0
190,0,0
191,0,0
192,0,0
193,4,2
194,1,0
195,1,0
196,1,0
197,0,0
198,0,1
199,1,1
200,1,1
201,0,0
202,4,2
203,0,0
204,215,12
205,0,0
206,3,1
207,2,1
208,0,0
209,3,1
210,0,0
211,10,8
212,0,0
213,0,0
214,1,0
215,25,5
216,0,0
217,0,0
218,0,0
219,49,4
220,1,0
221,27,1
222,7,1
223,8,2
224,1,0
225,15,4
226,1,1
227,6,0
228,1,0
229,0,0
230,0,0
231,34,2
232,38,5
233,22,4
234,109,7
235,0,0
236,0,0
237,0,0
238,1,0
239,0,0
240,2,4
241,55,3
242,46,6
243,0,0
244,1,0
245,22,6
246,8,3
247,13,2
248,0,1
249,21,0
250,6,0
251,19,6
252,3,0
253,0,0
254,7,3
255,0,1
256,0,0
257,1,0
258,0,0
259,0,0
260,0,1
261,0,0
262,0,0
263,0,0
264,1,1
265,0,0
266,0,0
267,0,0
268,0,0
269,0,1
270,1,0
271,0,1
272,0,0
273,0,0
274,0,1
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,1,0
281,0,0
282,0,0
283,0,1
284,0,0
285,0,0
286,2,0
287,0,0
288,0,1
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,2,1
295,0,0
296,0,0
297,0,2
298,0,1
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,1,0
308,0,0
309,0,0
310,0,1
311,0,0
312,2,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,1
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,1,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,2
340,0,0
341,4,1
342,0,0
343,0,0
344,0,0
345,0,0
346,1,2
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,2,0
360,0,0
361,1,0
362,0,1
363,0,0
364,0,0
365,0,1
366,0,0
367,0,0
368,1,0
369,0,0
370,0,0
371,2,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,1
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,2,1
395,0,0
396,0,0
397,0,0
398,0,1
399,0,0
400,0,0
401,0,0
402,1,0
403,1,2
404,1,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,4,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,6,3
422,0,0
423,16,1
424,0,0
425,5,0
426,0,0
427,10,1
428,0,0
429,0,0
430,1,0
431,2,1
432,0,3
433,65,15
434,4,0
435,21,1
436,7,0
437,10,4
438,4,0
439,15,0
440,0,0
441,0,0
442,1,1
443,24,2
444,0,0
445,0,1
446,0,0
447,0,0
448,15,1
449,43,34
450,1,0
451,0,0
452,15,2
453,8,1
454,3,0
455,10,8
456,0,1
457,34,0
458,37,6
459,1,2
460,0,0
461,0,0
462,11,8
463,6,2
464,20,4
465,0,0
467,5,0
468,27,5
469,0,2
470,0,0
471,19,2
472,33,0
473,6,2
475,0,0
476,9,1
477,0,0
478,5,0
479,0,0
480,9,3
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,11,4
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,1,0
516,10,1
517,22,2
518,0,0
519,0,0
520,0,0
521,0,0
523,1,0
524,5,1
525,10,5
526,6,0
527,0,0
528,0,0
529,6,2
530,23,5
531,10,1
532,14,2
533,1,0
534,1,0
535,0,0
536,14,5
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,6,3
544,0,0
545,13,1
546,13,2
547,40,8
548,0,0
549,1,0
550,0,0
551,21,4
552,4,1
553,54,2
554,0,0
555,17,2
556,18,2
557,7,1
558,1,2
559,16,2
560,28,5
561,0,0
562,0,0
563,0,0
564,0,2
565,0,0
566,0,0
567,10,2
568,12,3
569,0,1
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,1
585,46,3
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,1,2
634,10,6
635,17,1
636,0,0
637,24,2
638,0,0
639,10,1
640,24,2
641,15,6
642,25,7
643,15,5
644,1,0
645,0,0
646,11,5
647,0,0
648,0,0
649,24,5
650,1,0
651,0,0
652,26,1
653,12,1
654,7,0
655,5,2
656,24,2
657,0,0
658,0,0
659,27,11
660,0,0
661,0,0
662,19,2
663,0,1
664,33,5
665,2,0
669,15,4
670,0,0
671,0,1
672,8,2
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,2,0
679,23,3
680,0,1
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,5,0
695,0,0
696,0,0
697,0,0
698,0,0
699,26,2
700,19,1
701,12,3
702,0,0
703,69,2
704,0,0
705,8,3
706,9,3
707,15,5
708,3,3
709,19,2
710,26,1
711,22,2
712,13,5
713,1,0
714,0,0
715,0,0
716,0,0
717,0,0
718,10,5
719,0,0
720,1,0
721,0,0
722,0,0
723,10,2
724,0,0
725,1,0
726,0,0
727,0,0
728,0,0
729,2,0
730,12,3
731,3,1
732,12,5
733,13,2
734,0,0
735,21,3
736,2,0
737,1,1
738,0,0
739,0,1
740,0,0
741,0,0
742,22,7
743,0,0
744,0,0
745,0,0
746,0,2
747,0,1
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,3,2
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
