action,openwhisk_inter,openwhisk_intra,openwhisk_exe,pagurus_inter,pagurus_intra,pagurus_exe,percent
1,0.343723297,0.005122423,0.224401474,0.352578878,0.005107403,0.224387407,1.000062689
2,0.315332651,0.005244017,1.761029243,0.353976965,0.00553751,1.761234999,0.999883176
3,0.329209805,0.005237579,0.326599121,0.372073174,0.005277634,0.326658726,0.999817532
4,0.328398466,0.005136728,0.15734601,0.364737749,0.005224228,0.157431602,0.999456321
5,0.336863995,0.005141735,0.817992926,0.35323596,0.005131006,0.81798625,1.000008161
9,0.355635881,0.005121946,0.135312796,0.35665822,0.00511837,0.135309696,1.000022906
10,0.313123226,0.005109072,0.124280691,0.347157955,0.005184174,0.124361277,0.999352005
11,0.308128357,0.005126476,0.368533134,0.346453905,0.005136013,0.368553162,0.99994566
12,0.326928139,0.005141258,0.148340464,0.36415267,0.00522089,0.148418427,0.999474709
13,0.329488277,0.005135536,0.442626238,0.348012924,0.005144596,0.442639112,0.999970914
14,0.319388866,0.005120993,0.380554199,0.318804979,0.005127907,0.380557537,0.999991229
15,0.330037832,0.005106449,0.272438049,0.316864014,0.005126476,0.272444487,0.999976372
16,0.326861858,0.005111456,1.164281845,0.329909325,0.005147696,1.16432929,0.999959251
17,0.361173153,0.005130291,0.119306803,0.364015341,0.005118608,0.119293213,1.00011392
18,0.309921026,0.00511384,0.413567066,0.341678143,0.00520134,0.413657904,0.999780404
19,53.35325956,53.33481908,54.59112883,51.5136342,51.49342203,52.74974036,1.03490801
20,0.320668936,0.005135775,2.245326042,0.357103109,0.005225658,2.245356798,0.999986302
21,0.328766346,0.005138159,0.328522444,0.334196091,0.005134106,0.328518152,1.000013063
22,0.323906183,0.005123854,0.675846815,0.320015907,0.005132914,0.675847054,0.999999647
23,0.386688709,0.005590677,0.169840574,0.355486631,0.005303383,0.169517756,1.001904336
24,0.318226576,0.005106926,0.185350418,0.326383591,0.005151987,0.185394764,0.999760803
25,37.81073403,37.72065091,39.16515422,36.80044198,36.72136211,38.16586828,1.026182712
