HashFunction,Average,Count
bed38fd93e3220ad765dc2105031cc27e69c7a73bf4448a024cbaa35a1e11ae8,219.0,98777
5eac7fe4844fd19103a113f542966ab3ddea89b733d079b8afa7058912d2f821,239.0,98458
1053f280d150dc695b8ca504d5c749db063abb4920af19272bbdb3adfc37f9aa,180.0,97352
c2b6da45d6bc4ffdf300422e4f8cb8d80c1e07fadf32a1d731726accdb42a42f,787.0,97343
90f265dbab06604cd812b04c19f48b36181836d52c1cbac060332585afb7513d,106.0,97319
0848d620f913a291af5516653ae49305334be9e62aad6cac1b24f8272bef2da4,322.0,97076
517ea7750c47da719f04bf6d2d732f0022efe72e585e7bacfa90e9d759458e86,1754.0,95716
1976e8fc9b5b912442105635c995a1b1b9060d46aee036d2f09ccd42ed5a1bb3,110.0,92829
cd94cbf048ed5ead3f47e0543b5e2aa1c78b9fa5cde78773ea01f99d8f42903e,441.0,92102
a3e37f82c21958e1ff14cdabbd2e79bcdf943ef63a653ccb0b1cac20cdcbf494,106.0,91968
ba387944cde3f9545cba14c3dcb02ae6e05c0d8d4edbeb4e50ded53803e14f3a,214.0,91104
a45036cffb9bda6cd9e3a92ad17abfd1b03c38e6980c371db927c09be7dac20e,321.0,90821
4f74f0b0c19e34e3b3f3d9f1e96ddfcc699bac63abf72ea7151983482c8c21e2,795.0,90027
73f2b825d4b560a477170360aae4d0773887fd70823261d5dc46120194f37ccf,123.0,87298
9c571062f8da98a0f8b8c551bdc6d3bc999aabbf868f58897a5e506ca02056d1,181.0,86392
f32a9cf15329da9c07558f1cb4f00f969fa50aa1d2ae6b831effd52cffee3531,107.0,86220
e65601ae8a8e30c4e1b1edd2534c3601d88eec9e80906462efc146d08729b61d,152.0,86163
2b30024458c222a8a08e121c423ee1d0455eee9a1e3d5d304058456d851f79b7,144.0,86160
edc40d003629ed0d34e91e2cc0641d56df20ee98fd4f9a021e3964105f26945f,151.0,86157
8cfeda276cef9b2df28bcaa8386d21ea241ecce24419d95d8497599803f7f36e,145.0,86135
1a2b8369a45b982c9b97a74c1e50d18adeee6a6a97021b40d5989bf8be7e1dec,158.0,86132
74a946280c6c3990e1d0f78bf66cf6cb0d5f86c9ee9907b0513bf2516eda8e53,147.0,86125
ae572424c28ae9cc5339312b0e570dbd40bbd9f817373651a145a09b5dbfa5e8,176.0,86117
b59ea1950d57ababcd3094fe24ccf5ba5fa2a9713cf9dba596829ebac27891f9,547.0,86052
5550d4d1698964cd14668104f7cbb81ea83b87bb342c0d94f8c19e59cabffec8,812.0,85802
65503e87e798d3b991ddc66dfdd5ef464d284291e4beb1ad87ce88d00b49beed,918.0,85478
0bd5baced40b3f30defeb50df20e85ac75413061245648ffb04f181d82e92eb9,100.0,83486
9f9a45cf173136da20dd3d625ca61b26a2ff65110d504752d301311732b29ab8,329.0,83482
e356a65284b115696acfbbed2e9c0b298b6b51400f030086760f05fd237b9fcf,100.0,83480
9dcdf0d081db5d849f5db8177422d990506864596f253a9f0ea233a33fc636c9,293.0,82558
2a2c2a8f7a8c67c00e4ea7fc38e0fcb2ceeeeda4a4611c7211a05e11c0f51eaf,116.0,82271
d200c4aba12b034d322caff562bf938cf9f283dd994374049dfc11effb1f1a95,100.0,81267
c157ec9e3f10d175f1c03eba15052784c0fd8080a66546a5dfdec93d316288ac,143.0,81112
a59244f22f2e395434d51e6dd2076cff11e1d181fb6de4b811c909d0cfe14901,375.0,80617
e6a301eeb5c8e92ed659f369b1b5714dd426217dd3a5d02fbd07289dd7835201,296.0,80537
3f7be2c5bbd96d7c25765f9f467c696693f68683fa114cd978be25699d012852,216.0,80363
0090326fced7728419b589c8c6c2cad5b05d75553813b47938fae26ba0b2b393,505.0,78885
f3b8a6f5e201831ca3dfaeb6fe92632ad8b5f6d1babd2c7023350489798f292b,444.0,78521
72d45092d80f6341939fe09412fd973249b255011f7c96266a2ea8cd914f9e75,105.0,78320
cd8cf4f8b51d947294593266d14868b7ed056d1b5d56f85c2d3b27e8a7cd71f1,612.0,78301
0a04661aef547f6aa50db5e1f84e83ad08521e8ab5e449488e3e353b737886b6,2306.0,78124
