id,host,action,time,exec,lender,renter
0000583f32df4dbc8dc4e6114f7265bd,172.20.185.121,k-means,1610262025.9240794,0,0,0
00048f0e05d84d4391084ea823fc4d91,172.20.185.121,network,1610260735.7807007,0,0,0
0004ecff9360450d9b97744a1b94852e,172.20.185.120,couchdb_test,1610261771.0894747,0,2,0
0008610f853049fba2c521ff504d45ba,172.20.185.123,linpack,1610261430.9486551,0,0,0
0009c47d25354dd9a73038f50ab2f951,172.20.185.120,disk,1610260890.827732,0,0,0
000a75105f03412ca51c901a910b7562,172.20.185.121,video,1610261115.8684258,0,0,0
0015d280e5464632895ffa5d3765f50c,172.20.185.122,map_reduce,1610261900.927561,0,0,0
001bee8c1c6c45cfa53b2979fd3817c2,172.20.185.122,float_operation,1610261550.9205651,1,0,3
001ed06f9b604abca756a96ac7e4b46d,172.20.185.122,map_reduce,1610261000.8333726,0,0,0
0022be5e416749729a727f1b0b22d681,172.20.185.122,linpack,1610261745.9950325,0,0,0
0028e0b8b30345c19923435159427bf3,172.20.185.121,markdown2html,1610262245.9920769,0,0,0
002bc4954fb84f3cbcf509e1629a2901,172.20.185.119,couchdb_test,1610262266.3506792,9,6,0
0033e2ecd68a4798a6101df39e0f9a8e,172.20.185.122,disk,1610261160.862208,0,0,0
003435509e6f41a589e499ef08e13bf2,172.20.185.122,k-means,1610261785.9563632,0,0,0
0039dc0247fa45f0aa251fd4519aacd1,172.20.185.119,image,1610261886.3547058,0,0,0
003c2ba176254a4185d9fba5d69fdad2,172.20.185.123,video,1610261801.061744,0,0,0
003fc1ad92784fc390cae2724c2afc89,172.20.185.121,map_reduce,1610262155.9594772,0,0,0
00424e65979a4f5c8f8c4adf2c469620,172.20.185.122,matmul,1610261720.966403,0,0,0
004348be587d4669a7aa48d99de56fca,172.20.185.119,markdown2html,1610262186.3445928,0,0,0
00451f00f0e24bd59b5c8af41b3bf28a,172.20.185.121,network,1610261595.8857558,0,0,0
0045e898cc42435e8876bcdc644f6e34,172.20.185.121,k-means,1610260725.7614892,0,0,0
004fec180b7140e595b1d02d1b5e03ea,172.20.185.120,k-means,1610260880.887516,0,0,0
005020f450144949a29011b3da7072ee,172.20.185.123,float_operation,1610261666.0447679,31,0,0
0050778177ed40eaa743f80fce325d79,172.20.185.119,float_operation,1610262126.380427,0,0,2
0051f34ce83e4fe1b5ebc8f6f5e540ae,172.20.185.120,k-means,1610261926.019803,0,0,0
00566d1430a540dca466bb698a7ea830,172.20.185.119,disk,1610260731.1837478,0,0,0
005b2179f51c4eeea5affa915125bcc7,172.20.185.121,map_reduce,1610261020.804174,0,0,0
005d0f2d0ec54d7993a54481fdd3d1a6,172.20.185.123,disk,1610261175.9777935,28,0,0
005fd7c903924bcfb23a764a58d8409d,172.20.185.120,k-means,1610261721.0147328,0,0,0
006035f3810244afa053c89d99e08d35,172.20.185.120,map_reduce,1610261260.9067771,0,0,0
006088ce40d542ec9ed9800d98bccb8c,172.20.185.123,couchdb_test,1610261265.9421813,3,3,0
00629f4484cc458c88bad05dbf62dafb,172.20.185.122,markdown2html,1610261020.8752472,0,0,0
00649d1856204bf582326af2393a2221,172.20.185.120,map_reduce,1610260735.8401504,0,0,0
006bc28e3c994ad79e553eda6f16f0c2,172.20.185.123,disk,1610261070.9665816,28,0,0
006f92dc92944d29a48fa59ee41a3471,172.20.185.122,map_reduce,1610261770.9166145,0,0,0
007307a3aad14ce68ecfada1f117cbf0,172.20.185.122,k-means,1610261015.8493247,0,0,0
00736067c8ac4d5ea2f47ebd3de7babc,172.20.185.121,network,1610261705.8868852,0,0,0
007566c55428497797842707ff05c4cb,172.20.185.122,k-means,1610261850.933806,0,0,0
0078d7c7033b40c4b15fb640b5b55c0d,172.20.185.122,video,1610261815.9835076,0,0,0
007aca9b309d473e9ed5a4ca7715c43b,172.20.185.121,network,1610261140.8226528,0,0,0
007b9ee3b80b432cacd96cc18ca36315,172.20.185.122,network,1610261105.8386748,0,0,0
007e4423771c44c8bb6acf7cef47881e,172.20.185.121,matmul,1610261900.9389787,0,0,0
007f048acca74e03a01765a0a35c4c4c,172.20.185.120,markdown2html,1610261770.9783752,0,0,0
00802e929bd3461d858b4fad181d817d,172.20.185.119,couchdb_test,1610261446.2248082,10,4,0
008862be522945fd9c91326fafd3b5bb,172.20.185.121,matmul,1610260860.802475,0,0,0
008b19d7028445f8a879fcabbb670466,172.20.185.123,image,1610261411.024931,0,0,0
0095712af47c4856a5e23bb1f22968a5,172.20.185.119,video,1610261916.3422308,0,0,0
00968d1ec61a4b468a9f95a60e298d02,172.20.185.123,markdown2html,1610262091.1037595,0,0,0
009c168c929a4bf79e533443e502e83e,172.20.185.120,matmul,1610261520.9097092,0,0,0
00a274e73dd94fddac306379303ee70d,172.20.185.120,network,1610261475.9287267,0,0,0
00a2fad8707b4973b251506fec30281d,172.20.185.120,network,1610262246.1374953,0,0,0
00a875b5621b40b092944769faa57200,172.20.185.123,disk,1610260920.94413,28,0,0
00a918a467534a06bf47a6ee4b3a66f8,172.20.185.119,matmul,1610261261.2311614,0,0,0
00af3fcd3b914258b7d7809a6d64e094,172.20.185.119,couchdb_test,1610262086.328463,7,5,0
00b52618a32b4d99945cc3beff54c21b,172.20.185.121,k-means,1610261540.8528037,0,0,0
00b69ca26367467794c2aa6d0ac1b125,172.20.185.119,linpack,1610261166.2431931,0,0,0
00ba3c0b31694121abc8141d22c27df5,172.20.185.120,float_operation,1610261375.9258463,0,0,0
00bd4d40c8ad4aa2bcc574f9629dc8dd,172.20.185.121,couchdb_test,1610262175.9516459,0,0,0
00bea8d8074646e5bbd9890cdba56678,172.20.185.120,matmul,1610261605.9241498,0,0,0
00c21a3e673a49c6a6d2ce50d4062aad,172.20.185.122,couchdb_test,1610261966.0028036,0,0,0
