id,host,time,lender,renter
9c2e77e873234df3b0d69c00ed7e7c6a,172.20.185.122,1610263099.2487035,k-means,linpack
17f478f4ed0740b490d350ec066cb13b,172.20.185.121,1610263355.5213246,linpack,video
7a9a314b6ef2448dad66f0df9f6b4cc0,172.20.185.121,1610263521.9386344,linpack,matmul
df55f429eefe4aecbef55be936de0fe2,172.20.185.121,1610263527.9358275,linpack,matmul
849c24837c454919adc2d696e5881acd,172.20.185.121,1610263550.9937859,linpack,matmul
04f9d61f187a46e48c0ce02da412912b,172.20.185.122,1610263551.338331,linpack,matmul
bd91b8a3174f4901871f3a6464491cca,172.20.185.122,1610263551.3422186,linpack,matmul
879127c481734cd9b84ccbfa867678ca,172.20.185.119,1610263599.671205,network,float_operation
9b4de0cad82b4c5a9d8ce2b78b8651b9,172.20.185.121,1610263683.3158598,linpack,matmul
5b1480c941004c51813785842fb4a356,172.20.185.119,1610263871.6595128,network,float_operation
c7d230f1e17841d389fbad43abd7d4f1,172.20.185.119,1610263871.6605895,network,float_operation
f6857c0f63c840a8977eac4afbf40d4a,172.20.185.121,1610263973.0046957,linpack,matmul
d82a1bb9339047e1ae1c3fa3b73ab474,172.20.185.121,1610264066.214823,linpack,matmul
8f52f6de2911438c983a37aea552664b,172.20.185.121,1610264123.3393447,linpack,matmul
a9aebb79e3f044b79a19bc7dde550bae,172.20.185.121,1610264123.345662,linpack,matmul
729a6a455e9c42da8b9bd47d237ac605,172.20.185.121,1610264215.5571795,linpack,matmul
ba491856450b4ba9bac688c7fe18cbcb,172.20.185.123,1610264233.5396743,linpack,matmul
b8c093cfea5a42928d4f4d529a1275b9,172.20.185.119,1610264250.7043214,network,float_operation
5d438c726a20402683e0bc32c822de0e,172.20.185.123,1610264282.0864246,k-means,image
962ba515039b4388a007fc65865015b6,172.20.185.120,1610264298.7674088,float_operation,disk
0ff1e23c54884cbab7d58b3381a02592,172.20.185.120,1610264298.7736142,float_operation,disk
b7d69af1d71a447d8d998acbb3738e1c,172.20.185.120,1610264298.7833257,float_operation,disk
2ec6f783c033428f9b6c96a57c7b12f5,172.20.185.119,1610264323.5111792,network,float_operation
8eaa8950763943c8819ba0c60054b840,172.20.185.121,1610264381.987712,linpack,matmul
448cb4443e11492fb39924f415e43e53,172.20.185.119,1610264387.0161679,couchdb_test,float_operation
d03619b2612c440b950fad2f5bc8dda9,172.20.185.122,1610264397.6689575,k-means,linpack
5d520de8dcfb4157b6db11e1f5102efd,172.20.185.119,1610264432.1317706,couchdb_test,float_operation
1cb46227c13241b19bc85b948270f19f,172.20.185.119,1610264462.3355334,network,float_operation
d021a707f9f04cd4b5997abb4debd4a2,172.20.185.119,1610264462.3465557,network,float_operation
9573370023bc489e9e41feef0135a8b8,172.20.185.120,1610264499.2409484,float_operation,disk
c96a5e08905f44b2827491a06b598ee2,172.20.185.121,1610264501.249583,linpack,disk
45c70749e7914e9c9bc8f3fb056afba3,172.20.185.120,1610264501.5929828,float_operation,disk
