id,host,time,lender,renter
d9651dde4bed4e9aabebea24da2ddee7,172.20.185.119,1610269414.974706,disk,matmul
296ad35c19d74ded9067db37ba3e3761,172.20.185.121,1610269429.962741,couchdb_test,network
a73527193eca4a109b281ecde59bdf3b,172.20.185.121,1610269475.067067,couchdb_test,network
8c28ce689a8740b3b130cccb54b691bc,172.20.185.121,1610269505.1517622,couchdb_test,network
062b3b45b2b941bab59094c181f0bfbb,172.20.185.122,1610269511.2217097,video,image
6e1c2e86b65e418780f7f74d8461aaae,172.20.185.122,1610269511.519766,matmul,video
0ce926fe2a62401b9ee27ff3dc70e4f5,172.20.185.122,1610269511.5539525,video,matmul
fafa9b4d1c67483ebd5bd70f712acb2c,172.20.185.122,1610269511.8531744,matmul,video
cf8a2600f5d743288960efc2b7716428,172.20.185.122,1610269511.8586814,matmul,video
8440dc1de4a94ab6b3df2b4722ad6a15,172.20.185.119,1610269516.1815417,matmul,video
3be0b1a80ab449b1af109351ffdbee9a,172.20.185.119,1610269516.1912446,matmul,video
06aebba96b2b40c4bf78cc4773962289,172.20.185.121,1610269561.2829568,couchdb_test,markdown2html
0ed8d96b0fdc4e85922b7a07057c8890,172.20.185.121,1610269565.3061166,couchdb_test,network
df3c9f540af94eb89381a161d71f5eba,172.20.185.119,1610269581.4650888,k-means,video
c5c65197a165424b9bafde389cf8d421,172.20.185.120,1610269586.3536644,couchdb_test,k-means
64e462cf575d4b939436be29bbe7cf22,172.20.185.121,1610269592.0197837,couchdb_test,k-means
05fc46a254d44cc9b22d56b33b4de0ef,172.20.185.119,1610269602.0439231,k-means,couchdb_test
dba39d1597fd46849a7dae634552cc7c,172.20.185.119,1610269602.053826,k-means,couchdb_test
f972016d4cd7400186b5718ec4cc6f1a,172.20.185.119,1610269651.4965322,matmul,disk
dc4ee03fd11645debcff4c1ad10597ab,172.20.185.121,1610269700.6344795,couchdb_test,network
8966c20e16c4409fa222fe297d25f956,172.20.185.119,1610269736.6941302,k-means,video
bbcade5306094f06863889226a68dbd3,172.20.185.121,1610269745.7203174,couchdb_test,network
54626964ec4047c4b6ed79e578d0342a,172.20.185.121,1610269775.8089402,couchdb_test,network
250339cb39eb41c1b74b0d5c2bfd80e0,172.20.185.121,1610269881.0207152,couchdb_test,network
0e05505e425a4db3b92df559e591146d,172.20.185.121,1610269926.151712,couchdb_test,network
bd1e4661a73b4b43a5832b2a71f82643,172.20.185.122,1610269937.2805455,matmul,linpack
70f7f639ad20430391fa58481b9226a1,172.20.185.122,1610269937.2873087,matmul,linpack
2db37aaa5c8943a28d2c3009966628ce,172.20.185.121,1610270016.3568923,couchdb_test,network
7eb16c950fe3412886825918c6e75c4d,172.20.185.120,1610270082.5102956,couchdb_test,k-means
d71ee9232c6946298e4a292af97abd23,172.20.185.120,1610270082.8473287,couchdb_test,k-means
1adc59e98bf2404b936603ce187237ed,172.20.185.119,1610270132.6476703,matmul,disk
2c81bcd7e4a444a0a7fb2f2a39746e78,172.20.185.121,1610270226.8499506,couchdb_test,network
d25bf4f196534602b1d8f089b0742dbd,172.20.185.121,1610270271.9684486,couchdb_test,network
ed887efd611d436182d94e2ca9538f02,172.20.185.121,1610270317.0487115,couchdb_test,network
177df43fda6b408aa3bf7a7709da66e6,172.20.185.121,1610270377.200415,couchdb_test,network
14afbf58438147d2a04661e13209dc57,172.20.185.121,1610270407.2654436,couchdb_test,network
01b1716a88f34c1a882024bf24168673,172.20.185.119,1610270613.7865846,matmul,disk
dc914de9cca549d68958a1e5d31aae2d,172.20.185.121,1610270783.1382222,couchdb_test,network
