id,host,time,lender,renter
762606a6a04a479eb50cbe97e153bfe1,172.20.185.121,1610256548.2232115,couchdb_test,float_operation
b98aaed6971347d18356564b432f5d02,172.20.185.121,1610257810.0708723,couchdb_test,network
cd9d4782f8f14a9f9d61828da60c332c,172.20.185.121,1610257810.0758872,couchdb_test,network
11dee70ad12c4e7bb250b066f69d801c,172.20.185.121,1610257825.7884903,network,float_operation
3b64bc43efe04903b1fc068e3fa6f552,172.20.185.122,1610257837.8187704,float_operation,video
02a5eabff60a47d3bf82932acae37de1,172.20.185.122,1610257838.1548882,float_operation,video
f1c67b2270a840bbbb6211f3afe03fc4,172.20.185.122,1610257838.488213,map_reduce,float_operation
82350ebad757462b8a90ba6f4566639d,172.20.185.120,1610257892.6319396,map_reduce,k-means
01a23bb166ae46e3a5c30a8add8b131c,172.20.185.120,1610257893.0019965,map_reduce,k-means
a6b8753cccd94c9699e4d8e95c90553d,172.20.185.120,1610257893.3376606,map_reduce,k-means
