id,host,time,lender,renter
822d64e49a444b2d83eede6322b9a21e,172.20.185.119,1610279376.095587,matmul,float_operation
85c9fb9793b8442485ae46cfd48031c0,172.20.185.119,1610279425.165952,matmul,disk
a7331afe5f3a4bf791eab23272a7e439,172.20.185.119,1610279426.2205553,k-means,couchdb_test
d3c2d87f71234477b2a468ca3f804f5b,172.20.185.120,1610279456.3244202,linpack,network
ff33f806616e4924a0f30bf594d0021b,172.20.185.120,1610279456.3282948,linpack,network
e168e9d20809459789d430d7831fe648,172.20.185.120,1610279456.421893,video,linpack
1c64e5beccab47ffa835196bfc54c860,172.20.185.123,1610279456.6663876,k-means,network
03e5d7091b514188b1f16589e0b8fd84,172.20.185.123,1610279456.9797792,network,k-means
fa8812d278a4404f96047a77bfaf0d29,172.20.185.123,1610279457.252856,network,k-means
67a23ba9e2c449ef900cc22d92961aee,172.20.185.119,1610279486.363193,matmul,disk
e656bc8d067b4df3a8a6956d49765c0c,172.20.185.119,1610279487.036045,k-means,matmul
3b5f344838914db89398c717a55a599a,172.20.185.119,1610279546.5169683,matmul,disk
