time,load,container
1610083416,13,11
1610083417,10,11
1610083418,8,11
1610083419,7,11
1610083420,8,11
1610083421,9,11
1610083422,7,11
1610083423,9,11
1610083424,10,11
1610083425,8,11
1610083426,12,11
1610083427,7,11
1610083428,11,11
1610083429,6,11
1610083430,9,11
1610083431,11,11
1610083432,12,11
1610083433,12,11
1610083434,10,11
1610083435,15,11
1610083436,9,11
1610083437,6,10
1610083438,12,10
1610083439,10,5
1610083440,9,5
1610083441,8,4
1610083442,7,4
1610083443,8,4
1610083444,8,4
1610083445,8,4
1610083446,12,4
1610083447,11,4
1610083448,11,4
1610083449,8,4
1610083450,11,4
1610083451,12,4
1610083452,8,4
1610083453,10,3
1610083454,11,3
1610083455,7,3
1610083456,12,3
1610083457,9,3
1610083458,13,4
1610083459,10,5
1610083460,5,5
1610083461,14,5
1610083462,8,5
1610083463,9,5
1610083464,11,5
1610083465,9,5
1610083466,14,5
1610083467,7,5
1610083468,9,5
1610083469,11,5
1610083470,9,5
1610083471,11,5
1610083472,7,5
1610083473,10,5
1610083474,5,5
1610083475,8,5
1610083476,15,5
1610083477,10,4
1610083478,10,4
1610083479,9,4
1610083480,13,4
1610083481,11,4
1610083482,9,4
1610083483,11,5
1610083484,10,5
1610083485,8,5
1610083486,9,5
1610083487,10,5
1610083488,6,5
1610083489,5,5
1610083490,7,5
1610083491,11,5
1610083492,11,5
1610083493,10,5
1610083494,10,5
1610083495,10,5
1610083496,12,5
1610083497,9,5
1610083498,10,5
1610083499,10,4
1610083500,11,4
1610083501,12,4
1610083502,7,4
1610083503,11,4
1610083504,5,4
1610083505,9,4
1610083506,11,4
1610083507,10,4
1610083508,10,4
1610083509,10,4
1610083510,10,4
1610083511,12,4
1610083512,7,4
1610083513,9,4
1610083514,9,4
1610083515,8,4
1610083516,12,4
1610083517,8,4
1610083518,10,4
1610083519,7,4
1610083520,9,4
1610083521,12,4
1610083522,12,4
1610083523,10,4
1610083524,8,4
1610083525,8,4
1610083526,9,4
1610083527,6,4
1610083528,8,4
1610083529,12,4
1610083530,11,4
1610083531,9,4
1610083532,11,4
1610083533,7,4
1610083534,8,4
1610083535,10,4
1610083536,11,4
1610083537,12,4
1610083538,9,4
1610083539,11,4
1610083540,10,4
1610083541,11,4
1610083542,4,4
1610083543,9,4
1610083544,9,4
1610083545,10,4
1610083546,11,4
1610083547,4,4
1610083548,8,4
1610083549,6,4
1610083550,9,4
1610083551,13,4
1610083552,10,4
1610083553,11,4
1610083554,9,4
1610083555,6,4
1610083556,9,4
1610083557,7,4
1610083558,7,4
1610083559,10,4
1610083560,9,4
1610083561,13,4
1610083562,9,4
1610083563,9,4
1610083564,6,4
1610083565,3,4
1610083566,11,4
1610083567,7,4
1610083568,5,4
1610083569,6,4
1610083570,11,4
1610083571,14,4
1610083572,6,4
1610083573,9,4
1610083574,8,4
1610083575,8,4
1610083576,10,4
1610083577,11,4
1610083578,13,4
1610083579,7,4
1610083580,4,4
1610083581,14,4
1610083582,11,4
1610083583,9,4
1610083584,11,4
1610083585,9,4
1610083586,10,4
1610083587,3,4
1610083588,8,4
1610083589,9,4
1610083590,11,4
1610083591,12,4
1610083592,9,4
1610083593,8,4
1610083594,8,4
1610083595,8,4
1610083596,12,4
1610083597,9,4
1610083598,10,4
1610083599,9,4
1610083600,8,4
1610083601,10,4
1610083602,7,4
1610083603,10,4
1610083604,11,4
1610083605,8,4
1610083606,13,4
1610083607,7,4
1610083608,7,4
1610083609,4,4
1610083610,8,4
1610083611,11,4
1610083612,11,4
1610083613,12,4
1610083614,10,4
1610083615,11,4
1610083616,9,4
1610083617,10,4
1610083618,10,4
1610083619,10,4
1610083620,9,4
1610083621,12,4
1610083622,11,4
1610083623,11,4
1610083624,9,4
1610083625,7,4
1610083626,11,4
1610083627,9,4
1610083628,10,4
1610083629,8,4
1610083630,9,4
1610083631,8,4
1610083632,10,4
1610083633,9,4
1610083634,9,4
1610083635,11,4
1610083636,12,4
1610083637,9,4
1610083638,10,4
1610083639,8,4
1610083640,6,4
1610083641,10,4
1610083642,7,4
1610083643,11,4
1610083644,7,4
1610083645,10,4
1610083646,11,4
1610083647,10,4
1610083648,10,4
1610083649,11,4
1610083650,12,4
1610083651,15,4
1610083652,8,4
1610083653,11,4
1610083654,8,4
1610083655,9,4
1610083656,12,4
1610083657,9,4
1610083658,11,4
1610083659,9,4
1610083660,8,4
1610083661,9,5
1610083662,9,5
1610083663,9,5
1610083664,10,5
1610083665,10,5
1610083666,14,5
1610083667,9,5
1610083668,8,5
1610083669,6,5
1610083670,9,5
1610083671,11,5
1610083672,10,5
1610083673,11,5
1610083674,10,5
1610083675,10,5
1610083676,11,5
1610083677,8,5
1610083678,6,5
1610083679,11,5
1610083680,7,5
1610083681,13,5
1610083682,7,5
1610083683,10,5
1610083684,6,5
1610083685,5,5
1610083686,11,5
1610083687,12,4
1610083688,12,4
1610083689,12,4
1610083690,9,4
1610083691,9,4
1610083692,7,4
1610083693,6,4
1610083694,10,4
1610083695,9,4
1610083696,13,4
1610083697,5,4
1610083698,6,4
1610083699,7,4
1610083700,8,4
1610083701,13,4
1610083702,11,4
1610083703,8,4
1610083704,9,4
1610083705,12,4
1610083706,15,4
1610083707,11,4
1610083708,11,4
1610083709,7,4
1610083710,8,4
1610083711,11,4
1610083712,7,4
1610083713,6,4
1610083714,7,4
1610083715,10,4
1610083716,11,4
1610083717,10,4
1610083718,9,4
1610083719,11,4
1610083720,5,4
1610083721,11,4
1610083722,10,4
1610083723,11,4
1610083724,10,4
1610083725,9,4
1610083726,11,4
1610083727,7,4
1610083728,9,4
1610083729,8,4
1610083730,8,4
1610083731,12,4
1610083732,14,4
1610083733,11,4
1610083734,12,4
1610083735,12,4
1610083736,10,4
1610083737,5,4
1610083738,10,4
1610083739,10,4
1610083740,8,4
1610083741,11,4
1610083742,9,4
1610083743,9,4
1610083744,4,4
1610083745,5,4
1610083746,12,4
1610083747,7,4
1610083748,10,4
1610083749,11,4
1610083750,7,4
1610083751,11,4
1610083752,9,4
1610083753,7,4
1610083754,8,4
1610083755,7,4
1610083756,13,4
1610083757,7,4
1610083758,7,4
1610083759,7,4
1610083760,7,4
1610083761,10,4
1610083762,7,4
1610083763,10,4
1610083764,10,4
1610083765,10,4
1610083766,8,4
1610083767,6,4
1610083768,5,4
1610083769,9,4
1610083770,6,4
1610083771,13,4
1610083772,9,4
1610083773,9,4
1610083774,9,4
1610083775,10,4
1610083776,12,4
1610083777,8,4
1610083778,10,4
1610083779,12,4
1610083780,12,4
1610083781,13,4
1610083782,8,4
1610083783,8,4
1610083784,13,4
1610083785,7,4
1610083786,11,4
1610083787,7,4
1610083788,6,4
1610083789,6,4
1610083790,8,4
1610083791,12,4
1610083792,8,4
1610083793,12,4
1610083794,10,4
1610083795,6,4
1610083796,8,4
1610083797,8,4
1610083798,10,4
1610083799,9,4
1610083800,6,4
1610083801,12,4
1610083802,7,4
1610083803,8,4
1610083804,5,4
1610083805,5,4
1610083806,7,4
1610083807,9,4
1610083808,10,4
1610083809,11,4
1610083810,10,4
1610083811,11,4
1610083812,8,4
1610083813,8,4
1610083814,9,4
1610083815,9,4
1610083816,11,4
1610083817,8,4
1610083818,7,4
1610083819,7,4
1610083820,6,4
1610083821,10,4
1610083822,11,4
1610083823,9,4
1610083824,11,4
1610083825,7,4
1610083826,13,4
1610083827,6,4
1610083828,7,4
1610083829,8,4
1610083830,10,4
1610083831,12,4
1610083832,6,4
1610083833,9,4
1610083834,5,4
1610083835,5,4
1610083836,12,4
1610083837,6,4
1610083838,6,4
1610083839,11,4
1610083840,8,4
1610083841,9,4
1610083842,7,4
1610083843,9,4
1610083844,11,4
1610083845,8,4
1610083846,11,4
1610083847,6,4
1610083848,8,4
1610083849,5,4
1610083850,7,4
1610083851,11,4
1610083852,12,4
1610083853,11,4
1610083854,9,4
1610083855,7,4
1610083856,14,4
1610083857,9,4
1610083858,7,4
1610083859,11,4
1610083860,10,4
1610083861,12,4
1610083862,8,4
1610083863,10,5
1610083864,7,5
1610083865,10,5
1610083866,10,5
1610083867,8,5
1610083868,12,5
1610083869,10,5
1610083870,10,5
1610083871,13,5
1610083872,6,5
1610083873,7,5
1610083874,9,5
1610083875,11,5
1610083876,9,5
1610083877,8,5
1610083878,11,5
1610083879,7,5
1610083880,7,5
1610083881,9,4
1610083882,11,4
1610083883,10,4
1610083884,7,4
1610083885,8,4
1610083886,11,4
1610083887,7,4
1610083888,9,4
1610083889,9,4
1610083890,10,4
1610083891,12,4
1610083892,10,4
