time,cold,zygote
1609198912,7,0
1609198913,0,0
1609198914,0,0
1609198915,2,0
1609198916,0,0
1609198917,0,0
1609198918,0,0
1609198919,0,0
1609198920,0,0
1609198921,7,0
1609198922,0,0
1609198923,0,0
1609198924,0,0
1609198925,0,0
1609198926,0,0
1609198927,0,1
1609198928,0,0
1609198929,0,0
1609198930,0,0
1609198931,0,0
1609198932,0,1
1609198933,0,1
1609198934,0,0
1609198935,0,0
1609198936,0,1
1609198937,0,0
1609198938,0,0
1609198939,0,0
1609198940,0,0
1609198941,0,1
1609198942,0,0
1609198943,0,1
1609198944,0,0
1609198945,0,0
1609198946,0,0
1609198947,0,0
1609198948,0,0
1609198949,0,0
1609198950,0,0
1609198951,0,0
1609198952,0,0
1609198953,0,0
1609198954,0,0
1609198955,0,0
1609198956,0,0
1609198957,0,0
1609198958,0,0
1609198959,0,0
1609198960,0,0
1609198961,0,0
1609198962,0,0
1609198963,0,0
1609198964,0,0
1609198965,0,0
1609198966,0,0
1609198967,0,0
1609198968,0,0
1609198969,0,0
1609198970,0,0
1609198971,0,0
1609198972,0,0
1609198973,0,0
1609198974,0,0
1609198975,0,0
1609198976,0,0
1609198977,0,0
1609198978,0,0
1609198979,0,0
1609198980,0,0
1609198981,0,0
1609198982,0,0
1609198983,0,0
1609198984,0,0
1609198985,0,0
1609198986,0,0
1609198987,0,0
1609198988,0,0
1609198989,0,0
1609198990,0,0
1609198991,0,0
1609198992,0,0
1609198993,0,0
1609198994,0,0
1609198995,0,0
1609198996,0,0
1609198997,0,0
1609198998,0,0
1609198999,0,0
1609199000,0,0
1609199001,0,0
1609199002,0,0
1609199003,0,0
1609199004,0,0
1609199005,0,0
1609199006,0,0
1609199007,0,0
1609199008,0,0
1609199009,0,0
1609199010,0,0
1609199011,0,0
1609199012,0,0
1609199013,0,0
1609199014,0,0
1609199015,0,0
1609199016,0,0
1609199017,0,0
1609199018,0,0
1609199019,0,0
1609199020,0,0
1609199021,0,0
1609199022,0,0
1609199023,0,0
1609199024,0,0
1609199025,0,0
1609199026,0,0
1609199027,0,0
1609199028,0,0
1609199029,0,0
1609199030,0,0
1609199031,0,0
1609199032,1,0
1609199033,0,1
1609199034,0,0
1609199035,0,0
1609199036,0,2
1609199037,0,1
1609199038,0,0
1609199039,0,0
1609199040,0,0
1609199041,0,0
1609199042,0,2
1609199043,0,0
1609199044,0,0
1609199045,0,0
1609199046,0,1
1609199047,0,0
1609199048,0,0
1609199049,0,0
1609199050,0,0
1609199051,0,0
1609199052,0,0
1609199053,0,0
1609199054,0,0
1609199055,1,0
1609199056,0,0
1609199057,0,0
1609199058,0,0
1609199059,0,0
1609199060,0,0
1609199061,0,0
1609199062,0,0
1609199063,0,0
1609199064,0,0
1609199065,0,1
1609199066,0,0
1609199067,0,0
1609199068,0,0
1609199069,0,0
1609199070,0,0
1609199071,0,0
1609199072,0,0
1609199073,0,0
1609199074,0,0
1609199075,0,0
1609199076,0,0
1609199077,0,0
1609199078,0,0
1609199079,0,0
1609199080,0,0
1609199081,0,0
1609199082,0,0
1609199083,0,0
1609199084,0,0
1609199085,0,0
1609199086,0,0
1609199087,0,0
1609199088,0,0
1609199089,0,0
1609199090,1,0
