id,action,start_way,container_attr,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
2fbcca7274934ff2ae109cecc9083400,k-means,cold,exec,create,0.0180206298828125,9.072571516036987,0.003669261932373047,1609229705.4333112,1609229715.119224,9.685912847518921,1609229714.566508,1609229714.592809,0.026300907135009766
f243b2f8c90244538e3007bc31edfc3c,map_reduce,cold,exec,create,0.041211605072021484,7.259385108947754,0.0038251876831054688,1609229705.4417274,1609229713.8967881,8.455060720443726,1609229712.785331,1609229712.910266,0.12493491172790527
572e2077efb54c24aea36ab6457d44c4,k-means,warm,exec,queue,9.157203197479248,4.76837158203125e-07,4.76837158203125e-07,1609229705.4447901,1609229715.6170251,10.172235012054443,1609229714.6396997,1609229714.6646154,0.024915695190429688
ee12ec859ea5420ba9f85742fc7ce13b,k-means,warm,exec,queue,9.129355192184448,2.384185791015625e-07,7.152557373046875e-07,1609229705.4476986,1609229715.6110294,10.163330793380737,1609229714.605219,1609229714.6287642,0.023545265197753906
402b594b79a94e1586b2e915929fb5aa,float_operation,cold,exec,create,0.02110576629638672,11.314744710922241,0.0040094852447509766,1609229705.4503746,1609229722.1819077,16.73153305053711,1609229716.8147955,1609229716.8917933,0.07699775695800781
901cadb168b946f9b2b8b4d42bdd725a,matmul,cold,exec,create,0.036125898361206055,7.545252799987793,0.00368499755859375,1609229705.4530544,1609229714.062035,8.608980655670166,1609229713.0609024,1609229713.3797472,0.3188447952270508
6f5a3aa6d3ee420090f70fe64d5fd29b,matmul,cold,exec,create,0.03027820587158203,7.692920684814453,0.0036094188690185547,1609229705.4557157,1609229714.060287,8.604571342468262,1609229713.208457,1609229713.3969884,0.18853139877319336
a93b725cf86d4e569be6605b194c11ae,matmul,cold,exec,create,0.02436375617980957,8.204011678695679,0.003667593002319336,1609229705.4578056,1609229714.430714,8.97290825843811,1609229713.7123606,1609229713.734434,0.02207326889038086
62583e0b3f3145a0809e8da2502b5ed3,matmul,cold,exec,create,0.03904891014099121,8.840018510818481,0.003914356231689453,1609229705.4593923,1609229715.122443,9.663050651550293,1609229714.3599925,1609229714.3769386,0.016946077346801758
862b71bb6f97433ab7feb5f4fda5c54f,k-means,warm,exec,queue,8.275035381317139,7.152557373046875e-07,2.384185791015625e-07,1609229706.3885791,1609229715.6164412,9.227862119674683,1609229714.6826777,1609229714.7206342,0.03795647621154785
52494bc9fb2c4fafad584664519fd689,float_operation,warm,exec,queue,10.492078304290771,2.384185791015625e-07,2.384185791015625e-07,1609229706.3929482,1609229717.969058,11.576109886169434,1609229716.898322,1609229716.9058821,0.007560014724731445
9592ac870ba244a98778d8eec647ccb3,k-means,warm,exec,queue,8.324899673461914,2.384185791015625e-07,2.384185791015625e-07,1609229706.3955991,1609229715.616755,9.221155881881714,1609229714.7294924,1609229714.7523897,0.02289724349975586
852f217ae9604cb780364982e533eafd,float_operation,warm,exec,queue,10.129860639572144,2.384185791015625e-07,2.384185791015625e-07,1609229707.387108,1609229718.7724464,11.385338306427002,1609229717.5306695,1609229717.5380995,0.007430076599121094
980bab57d0ab4076a3032362514665f1,float_operation,warm,exec,queue,11.054919004440308,2.384185791015625e-07,2.384185791015625e-07,1609229707.3913565,1609229722.1815915,14.790235042572021,1609229718.4586837,1609229718.4649773,0.006293535232543945
fae4bf92b4e04bd79aa5b8e72c34fbb7,float_operation,warm,exec,queue,10.081097841262817,2.384185791015625e-07,2.384185791015625e-07,1609229708.385332,1609229719.6565208,11.271188735961914,1609229718.479255,1609229718.4857368,0.00648188591003418
