id,time,lender,renter
a511262c6cca4710b87af3bd30ef9944,1609513738.8471355,k-means,markdown2html
dce3e5ee9c534a3d8632cadbb4b066e7,1609513752.1134448,k-means,map_reduce
849756fa2efe4733b58ed984a2a7a3f3,1609513810.888873,k-means,map_reduce
796442eefa4746b095e90519d137dcf1,1609513812.8909397,k-means,markdown2html
bb4ae6e16b87427fa27a3a57a96e9ce2,1609513812.8963912,k-means,markdown2html
b23854be2ad54db6936a4a29fd9b4c01,1609513825.9304485,k-means,image
5cdf071ae674494cb62ad928d68590b5,1609513825.9317467,k-means,image
8fe0bbde935a44808b36effa82433b17,1609513875.9734578,float_operation,video
cf10b1f11ad04b829ebecf23543dd578,1609513885.99338,k-means,image
40fcba23313e4a9f9a64080de677ed68,1609513901.4584115,markdown2html,k-means
76803a47e0d14a659d24f7e0ac53e7c6,1609513931.0336163,k-means,map_reduce
007cda8a8c634ea69b99afe6ccbad106,1609513946.0728953,k-means,image
202bbd94f82d49bc952e077eb253e4fc,1609513946.0744464,k-means,image
e0bf051c147a4c8283a73aa4c5cc4d6b,1609514014.6744072,markdown2html,k-means
5e9e700ed415423f9c54779b94cba1c4,1609514016.9731934,k-means,markdown2html
2d7b3df8ffe341248b00db9b6a05a250,1609514019.1619601,k-means,markdown2html
bceb925acb154e298a419dd0212d9282,1609514019.1632483,k-means,markdown2html
ecafb6c1fa7c4013a6573ffd38de8095,1609514021.1508594,k-means,map_reduce
1ea78e2a2c2540e8978b40ef824920bb,1609514051.2285867,k-means,map_reduce
29d8925dfc68495da960f39f4db2720a,1609514093.2290325,k-means,map_reduce
a997ca4e582a4a8b92d6120499a30eec,1609514107.340586,map_reduce,k-means
72da7004985c438a8fed4d556e2b14fe,1609514183.2972722,k-means,image
3b82080f0308470d9a42b71cee1352fa,1609514186.368,k-means,image
5bf3c9e6be31425eab87bbd5a5608a05,1609514186.3693027,k-means,image
54c617dff1424d4db12a452359457b99,1609514223.382029,k-means,map_reduce
5df8d4cd44494f7387a3f5e30eec0765,1609514246.923142,map_reduce,k-means
3a959b3f37074105b4e19252742aa9e3,1609514246.9510927,k-means,image
0f0e7d704ac54c82be1d31ac2f6ef6f9,1609514341.6273422,k-means,map_reduce
5c156715465f4434812c9d22b730e2da,1609514341.6537316,map_reduce,k-means
26ebcb4c3e3a4f39b7ae2ae36710045b,1609514362.291627,map_reduce,k-means
a8065d0e3cb14ff5b68022199352a21c,1609514448.6667233,map_reduce,k-means
7725ec5b793d4d4b8345ad5b018f50a3,1609514450.1104329,map_reduce,k-means
90f3e11ca9e5498c84c2f320c9e4b91c,1609514522.7009811,k-means,couchdb_test
0d45f3d348df421b9cce37bcb117bc43,1609514531.7513616,k-means,map_reduce
b17d2a25477c4883a1327cdadf83bf55,1609514582.778338,k-means,couchdb_test
86aa4145c5ca41b381b849aa9f47ee57,1609514582.7851434,k-means,couchdb_test
76cb16b64c9041e4acbfa09ad221a868,1609514582.787877,k-means,couchdb_test
28a893f53d2d4983866acb9f5a17a6d4,1609514610.7327187,float_operation,matmul
3cd9dc8dd8e64ae0b12f69d3c03cce8a,1609514647.8886847,network,k-means
8f76e86c1ba54b5bb4f668433bf821e5,1609514738.949924,k-means,markdown2html
41223dcfadd74072835d52a3bd983b82,1609514789.9361594,map_reduce,k-means
42b841f1fe89498f8585e5f5f8a5cb9b,1609514847.1296327,k-means,map_reduce
adf0605010b143fe9a6834aa3393ef66,1609514884.128117,k-means,map_reduce
8c998deb5b844143bcca8f6d00d693df,1609514892.1767564,k-means,map_reduce
664874b24dd44927a2e39c7034f411eb,1609515015.0737758,k-means,map_reduce
a3d63f4af6254eae944da44d83aaee16,1609515018.716278,k-means,map_reduce
0690d1e2963e4491a78ec55a4d0714fa,1609515018.7173975,float_operation,matmul
2623352e23a846148e0babbe415bc00f,1609515101.354846,k-means,markdown2html
