time,load,container
0,13,0
1,10,0
2,8,0
3,7,0
4,8,0
5,9,0
6,7,0
7,9,0
8,10,0
9,8,0
10,12,0
11,7,0
12,11,0
13,6,0
14,9,0
15,11,0
16,12,0
17,12,0
18,10,0
19,15,0
20,9,0
21,6,0
22,12,0
23,10,0
24,9,0
25,8,0
26,7,0
27,8,0
28,8,0
29,8,0
30,12,0
31,11,0
32,11,0
33,8,0
34,11,0
35,12,0
36,8,0
37,10,0
38,11,0
39,7,0
40,12,0
41,9,0
42,13,0
43,10,0
44,5,0
45,14,0
46,8,0
47,9,0
48,11,0
49,9,0
50,14,0
51,7,0
52,9,0
53,11,0
54,9,0
55,11,0
56,7,0
57,10,0
58,5,0
59,8,0
60,15,0
61,10,0
62,10,0
63,9,0
64,13,0
65,11,0
66,9,0
67,11,0
68,10,0
69,8,0
70,9,0
71,10,0
72,6,0
73,5,0
74,7,0
75,11,0
76,11,0
77,10,0
78,10,0
79,10,0
80,12,0
81,9,0
82,10,0
83,10,0
84,11,0
85,12,0
86,7,0
87,11,0
88,5,0
89,9,0
90,11,0
91,10,0
92,10,0
93,10,0
94,10,0
95,12,0
96,7,0
97,9,0
98,9,0
99,8,0
100,12,0
101,8,0
102,10,0
103,7,0
104,9,0
105,12,0
106,12,0
107,10,0
108,8,0
109,8,0
110,9,0
111,6,0
112,8,0
113,12,0
114,11,0
115,9,0
116,11,0
117,7,0
118,8,0
119,10,0
120,11,0
121,12,0
122,9,0
123,11,0
124,10,0
125,11,0
126,4,0
127,9,0
128,9,0
129,10,0
130,11,0
131,4,0
132,8,0
133,6,0
134,9,0
135,13,0
136,10,0
137,11,0
138,9,0
139,6,0
140,9,0
141,7,0
142,7,0
143,10,0
144,9,0
145,13,0
146,9,0
147,9,0
148,6,0
149,3,0
150,11,0
151,7,0
152,5,0
153,6,0
154,11,0
155,14,0
156,6,0
157,9,0
158,8,0
159,8,0
160,10,0
161,11,0
162,13,0
163,7,0
164,4,0
165,14,0
166,11,0
167,9,0
168,11,0
169,9,0
170,10,0
171,3,0
172,8,0
173,9,0
174,11,0
175,12,0
176,9,0
177,8,0
178,8,0
179,8,0
180,12,0
181,9,0
182,10,0
183,9,0
184,8,0
185,10,0
186,7,0
187,10,0
188,11,0
189,8,0
190,13,0
191,7,0
192,7,0
193,4,0
194,8,0
195,11,0
196,11,0
197,12,0
198,10,0
199,11,0
200,9,0
201,10,0
202,10,0
203,10,0
204,9,0
205,12,0
206,11,0
207,11,0
208,9,0
209,7,0
210,11,0
211,9,0
212,10,0
213,8,0
214,9,0
215,8,0
216,10,0
217,9,0
218,9,0
219,11,0
220,12,0
221,9,0
222,10,0
223,8,0
224,6,0
225,10,0
226,7,0
227,11,0
228,7,0
229,10,0
230,11,0
231,10,0
232,10,0
233,11,0
234,12,0
235,15,0
236,8,0
237,11,0
238,8,0
239,9,0
240,12,0
241,9,0
242,11,0
243,9,0
244,8,0
245,9,0
246,9,0
247,9,0
248,10,0
249,10,0
250,14,0
251,9,0
252,8,0
253,6,0
254,9,0
255,11,0
256,10,0
257,11,0
258,10,0
259,10,0
260,11,0
261,8,0
262,6,0
263,11,0
264,7,0
265,13,0
266,7,0
267,10,0
268,6,0
269,5,0
270,11,0
271,12,0
272,12,0
273,12,0
274,9,0
275,9,0
276,7,0
277,6,0
278,10,0
279,9,0
280,13,0
281,5,0
282,6,0
283,7,0
284,8,0
285,13,0
286,11,0
287,8,0
288,9,0
289,12,0
290,15,0
291,11,0
292,11,0
293,7,0
294,8,0
295,11,0
296,7,0
297,6,0
298,7,0
299,10,0
300,11,0
301,10,0
302,9,0
303,11,0
304,5,0
305,11,0
306,10,0
307,11,0
308,10,0
309,9,0
310,11,0
311,7,0
312,9,0
313,8,0
314,8,0
315,12,0
316,14,0
317,11,0
318,12,0
319,12,0
320,10,0
321,5,0
322,10,0
323,10,0
324,8,0
325,11,0
326,9,0
327,9,0
328,4,0
329,5,0
330,12,0
331,7,0
332,10,0
333,11,0
334,7,0
335,11,0
336,9,0
337,7,0
338,8,0
339,7,0
340,13,0
341,7,0
342,7,0
343,7,0
344,7,0
345,10,0
346,7,0
347,10,0
348,10,0
349,10,0
350,8,0
351,6,0
352,5,0
353,9,0
354,6,0
355,13,0
356,9,0
357,9,0
358,9,0
359,10,0
360,12,0
361,8,0
362,10,0
363,12,0
