time,cold,zygote
1609656087,4,0
1609656088,0,0
1609656089,0,0
1609656090,7,0
1609656091,1,0
1609656092,1,0
1609656093,0,0
1609656094,0,0
1609656095,0,0
1609656096,0,0
1609656097,1,0
1609656098,1,0
1609656099,0,0
1609656100,1,0
1609656101,1,0
1609656102,2,0
1609656103,0,0
1609656104,0,0
1609656105,1,0
1609656106,0,0
1609656107,0,0
1609656108,0,0
1609656109,0,0
1609656110,0,0
1609656111,0,0
1609656112,0,0
1609656113,1,2
1609656114,0,1
1609656115,0,0
1609656116,0,0
1609656117,0,0
1609656118,0,0
1609656119,0,1
1609656120,0,0
1609656121,0,0
1609656122,0,1
1609656123,0,0
1609656124,0,0
1609656125,0,3
1609656126,0,0
1609656127,4,0
1609656128,0,0
1609656129,0,1
1609656130,0,0
1609656131,0,0
1609656132,0,0
1609656133,1,0
1609656134,0,1
1609656135,3,0
1609656136,1,1
1609656137,2,0
1609656138,0,0
1609656139,0,0
1609656140,0,0
1609656141,0,1
1609656142,0,0
1609656143,0,0
1609656144,0,1
1609656145,3,1
1609656146,0,1
1609656147,0,0
1609656148,3,0
1609656149,0,0
1609656150,0,0
1609656151,1,0
1609656152,0,1
1609656153,0,0
1609656154,0,1
1609656155,0,1
1609656156,0,0
1609656157,0,0
1609656158,0,1
1609656159,0,2
1609656160,0,0
1609656161,0,0
1609656162,0,0
1609656163,0,1
1609656164,0,0
1609656165,0,1
1609656166,0,0
1609656167,0,2
1609656168,0,1
1609656169,0,0
1609656170,0,0
1609656171,0,0
1609656172,0,0
1609656173,0,0
1609656174,0,0
1609656175,0,0
1609656176,0,0
1609656177,0,0
1609656178,0,0
1609656179,0,0
1609656180,0,0
1609656181,0,0
1609656182,0,1
1609656183,0,0
1609656184,0,0
1609656185,0,0
1609656186,0,0
1609656187,3,0
1609656188,1,0
1609656189,0,0
1609656190,0,0
1609656191,0,0
1609656192,0,1
1609656193,2,0
1609656194,3,0
1609656195,3,0
1609656196,1,0
1609656197,0,0
1609656198,0,0
1609656199,0,0
1609656200,2,0
1609656201,0,0
1609656202,0,0
1609656203,0,0
1609656204,0,0
1609656205,1,0
1609656206,0,0
1609656207,1,0
1609656208,1,0
1609656209,0,0
1609656210,0,0
1609656211,0,0
1609656212,0,0
1609656213,0,0
1609656214,0,1
1609656215,0,1
1609656216,0,0
1609656217,0,0
1609656218,0,0
1609656219,0,0
1609656220,0,1
1609656221,0,0
1609656222,0,0
1609656223,0,0
1609656224,0,0
1609656225,0,0
1609656226,0,0
1609656227,0,0
1609656228,0,0
1609656229,0,0
1609656230,0,0
1609656231,0,0
1609656232,0,0
1609656233,0,0
1609656234,0,0
1609656235,0,0
1609656236,0,0
1609656237,0,0
1609656238,0,0
1609656239,0,0
1609656240,0,0
1609656241,0,0
1609656242,0,0
1609656243,0,0
1609656244,0,0
1609656245,0,0
1609656246,0,0
1609656247,2,0
1609656248,2,0
1609656249,0,0
1609656250,1,0
1609656251,1,0
1609656252,0,0
1609656253,0,0
1609656254,2,0
