id,time,lender,renter
990a39ce18334a4b9ae9e87782c29853,1609870330.41858,float_operation,k-means
a1aa8683e71e4ac4986831e24fa71993,1609870368.4532697,video,image
7a2a840fa2194110a9cd421193c4b387,1609870372.5339358,float_operation,k-means
212c93a5efce43adb3bf0f2699a1975c,1609870477.5969708,video,float_operation
171cf67d58ee4cb8a55d34abcace8cfc,1609870498.6375618,video,image
3346ea40fa604768871b5e1da6453153,1609870510.602096,video,float_operation
b895224d68f343e69f3245999a819ea0,1609870563.7132676,video,image
e4c21a052e4944e4a1d363d9e25521e2,1609870593.7780383,k-means,markdown2html
3eefd577fec6467ca583233e1a6c0bcc,1609870628.7724206,video,image
db09e0f96d284d28b809101b830283e7,1609870653.8257246,k-means,markdown2html
8e97660773f6461887a3096b00c7c48d,1609870670.8430128,video,float_operation
022c82e19d6a44af832912a0091ceaa1,1609870685.8448565,video,float_operation
b71afdfae4674907a5a8eaf14141aa87,1609870713.8770182,k-means,markdown2html
c5a4a83923dc4109a693c4c86c208845,1609870727.866303,video,float_operation
698cc33f49574f3e9a8e27eadbce5b1e,1609870748.9154663,video,linpack
4f4172f818704056b5a8bb7502628e8e,1609870768.9706724,video,disk
1dd939b2f666440783e34c72b47c3543,1609870773.991496,k-means,video
1d6f94bf61ef4652b1a22a3b32d9c546,1609870773.992812,k-means,markdown2html
d3f1d72b7b3a4acaabadfe9f91f07bcc,1609870803.016905,disk,float_operation
03907181c6114b3f86da1f07ef6bac63,1609870828.0126114,disk,float_operation
90150f995eb64c31a7654deb4cc1bbe6,1609870834.082092,k-means,markdown2html
ea300828a7714ccc850ae49557f885a9,1609870870.0700634,disk,linpack
1e8dcc79fda243b3b94104574f0be5e6,1609870894.0848823,k-means,markdown2html
4ba49e3fa87e49c59a94958c0323403e,1609870921.102923,disk,float_operation
2eab1bc3d5894e97bb22017f8c58ade2,1609870954.1848793,k-means,markdown2html
01746d9559e7422db0687cf2ef55fc6a,1609870961.1674259,map_reduce,couchdb_test
8d324a4d44d1420380517260ef83fe37,1609870964.1610553,disk,map_reduce
5a1e8efdf6844581b632c49cdc941ad6,1609870978.140874,disk,float_operation
df47683614c241f3b2d049f28eb8ad29,1609871001.205671,disk,float_operation
5e2a8bf809114d7dbeeb37ba46818c3a,1609871014.2401211,k-means,markdown2html
ca7375ec09e64da6963b910d267b2c4a,1609871056.2593596,disk,linpack
561458ecd7674de788011f9bc7a2334e,1609871066.2862055,disk,float_operation
4b0b01a6a45b4143ae9c47e0463c6549,1609871074.3293455,k-means,markdown2html
cee5353002a24847a5b4fff51c691ca0,1609871134.42563,k-means,markdown2html
51034889308d42a49e30d78c2bc441ac,1609871149.4090412,video,image
4076a547dee845f592ad73c622298e19,1609871194.4624972,k-means,markdown2html
d30dfdf5756945da8fbfd88797662c09,1609871254.5018349,k-means,markdown2html
523d82df3f644e899af6e990f5b7754a,1609871256.5077941,video,float_operation
af9fff1365124d489b0094b2366e8d6a,1609871274.5269668,video,image
d011d7cd8ac145789cf06f4be6388ace,1609871306.5477674,video,float_operation
e991dd28311348398e4ca8734aeffe0c,1609871314.5741022,k-means,markdown2html
cfe1ceb30fec426c9899cff3a1193a73,1609871344.5932496,video,image
baa63bd8e9b747d4a64d9d9238c35c93,1609871366.5842052,video,float_operation
5fe8232aa9d74eceafeb388242a9b8e0,1609871374.6242943,k-means,markdown2html
592db293db664fafbd060fb5912107c6,1609871409.6610339,video,image
7a0e8d4ed86a435283fdac5c4e813c01,1609871434.7091842,k-means,markdown2html
ee5cccf5eedd4c2fae1c681f5ea7011e,1609871483.7513497,video,float_operation
9a36a10e28384f8391efbaab5dc2c3af,1609871508.765775,video,float_operation
385a479997484d40952c7889eb5880c5,1609871555.8547623,network,k-means
f7127615832448d0918191ca33e109c7,1609871593.8847184,video,float_operation
56177e9d14db407784a82910aa27487e,1609871664.032938,video,float_operation
