id,time,lender,renter
ffe60398cc1249679ff0c275add0f07b,1609864074.8040333,matmul,linpack
f0c5121f1d66474ab572dc91c3a6f65c,1609864074.8283818,matmul,linpack
a3016f79f4ae4a9f9a45526db55996cc,1609864080.7931175,linpack,matmul
f447dfbbf72c4aa0a397db18880b5412,1609864135.840442,linpack,image
6cbbabcaaeee497791113f991825d423,1609864293.0197396,linpack,float_operation
dd494dffbae24bdb99b77364153ce1a6,1609864293.0289438,linpack,float_operation
1239e36d8b2045019406875b9c7435fd,1609864295.0698843,network,linpack
eef8388aaa8a4cad996d47322264b5c5,1609864301.0641568,linpack,float_operation
7af5478c490044218a0800d9d6c5a07e,1609864491.3672414,network,linpack
0dc63133b7b5429cab8c7176aeb2c987,1609864676.5764327,network,k-means
f039d0be473443a3ae35515e637521b5,1609864696.5860257,linpack,matmul
c8463fa0916f488297a3155c3c10967b,1609864698.5453596,network,linpack
9518e8e147534a47929e32558e6563fa,1609864741.6670368,network,map_reduce
0f83aa4b259f41bd9eb08013ac0704bc,1609864982.910643,network,linpack
9314269b338f4ec6b14d3c8b2c89f6b7,1609865113.0656059,network,linpack
a4105560d9b3452496ce2173b729e722,1609865138.108126,network,linpack
ca73981d749b40e59dfb118720fe56fa,1609865208.1904817,network,linpack
0d1b48ab43e9483a96115d91a607fb5e,1609865246.2139184,video,linpack
3aea4889d6dc40b092aa5890eb3d4e0a,1609865288.3022509,video,linpack
c6bc2002ea0845149b49a5ad96cd13a5,1609865402.4582057,network,float_operation
31c691c5b2ea4b5580fa372b95712e99,1609865434.4777277,float_operation,linpack
