id,time,lender,renter
cbc71504dbe94afeb878ee7b302c0cbb,1609859857.239289,float_operation,linpack
142cab56c67e411b956b32be2eeb531e,1609859858.238708,float_operation,markdown2html
750d14be8dda4977b84d28608ff35982,1609859904.2918172,k-means,linpack
318132b5ed4d4ef78969225dbcb2c41c,1609860041.4689996,float_operation,linpack
4378b400a65a45dc82016f827a65e8b0,1609860141.6225126,float_operation,linpack
9fab32a3f6d448a7afd951ae5a9e12af,1609860142.6364596,k-means,linpack
f1dadc613c334da099047af1ec0a6b99,1609860153.6014893,k-means,video
be4bd85ad57b4114ad2a97088919c1cf,1609860236.729514,linpack,video
e36f40de48ef4f8583dd0b1505b9fcd4,1609860238.7229786,float_operation,video
b1384b4423db4787a5e9c7d88d0c421b,1609860413.9658253,float_operation,video
9b779d8afcf0478da6d7982bc1bd060b,1609860415.9543214,k-means,video
ab400aae59bf4a80ba3e1bdf5e8811a2,1609860435.0080416,float_operation,video
c3df53e3aae0402c95874be6b2b6a869,1609860462.0579846,float_operation,video
43d2217fb5bb461ab267b52db8844033,1609860577.204911,float_operation,video
edf0516686174077a13d73a72bc2894c,1609860627.2640758,float_operation,markdown2html
7c8918308ab643c0ae52c5990052bf94,1609860630.267157,k-means,video
dfeb1214740147c2ba781f388a3184ff,1609860697.316285,float_operation,linpack
9d0bf184844242c08767615f2270d53f,1609860699.3100698,video,float_operation
d9310a863b2343d58655947d219c7800,1609860817.4526,float_operation,linpack
3a1bb0586b354e3ab611fd43b8a3067e,1609860991.6667035,float_operation,matmul
0c0fa129191f41b1b8105aedb476967e,1609861046.7024286,float_operation,video
f52e34ea4f274275b21a5c287aaa6049,1609861089.7423074,float_operation,video
ec513d5a424e4758b54d8a06cf37587b,1609861123.7947772,float_operation,linpack
93fa7d7cff2642c3bb1f7689aa54cfa7,1609861200.892819,float_operation,markdown2html
021b64c1cd7e48d8baee0eff045074a5,1609861224.9090889,float_operation,markdown2html
