function,package_size
cs_bot,108
cer_lambda,121408
df_union,20032
ep_users_sign_up,0
ep_products_table_update,0
ep_orders_create_order,0
ep_products_validate,0
ep_delivery_on_package_created,896
ep_payment_validate,448
ep_warehouse_on_order_events,0
ep_warehouse_table_update,0
ep_payment_cancel_payment,0
ep_delivery_table_requests,0
ep_payment_process_payment,0
ep_orders_on_event,0
ep_orders_table_update,0
ep_payment_update_payment,0
eo_athenarunner,0
eo_gluerunner,0
eo_ons3objectcreated,0
fmp_twitter_streaming,448
fmp_twitterddb,0
fmp_comparefaces,0
fp_notification,468
fp_conversion,608
fp_sentiment,0
t_payment_method,0
t_ddb_encrypt_item,9636
sc_add_to_cart,0
sc_update_cart,0
sc_list_cart,0
sc_migrate_cart,0
sc_checkout_cart,0
sc_delete_from_cart,0
tcp_download_podcast,4385
tcp_check_transcribe,4385
tcp_process_podcast_rss,4385
tcp_upload_to_elasticsearch,4385
